Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bev Botter,Kevin Dodd,David S. Patrick,LaVar Payne,Wally Regehr,Dean Shock,Frans Vandestroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Medicine Hat/Medicine Hat"," 50","Taber",17,6,3,204,17,10,1,0,258,496
48021,"Medicine Hat/Medicine Hat"," 51","Taber",7,8,1,146,13,3,3,0,181,395
48021,"Medicine Hat/Medicine Hat"," 52","Taber",4,13,2,117,10,1,1,0,148,417
48021,"Medicine Hat/Medicine Hat"," 53","Taber",7,4,3,111,9,4,0,0,138,363
48021,"Medicine Hat/Medicine Hat"," 54","Taber",7,22,3,105,14,4,2,1,158,415
48021,"Medicine Hat/Medicine Hat"," 55","Taber",7,4,1,114,3,4,1,0,134,280
48021,"Medicine Hat/Medicine Hat"," 56","Taber",12,7,4,128,12,5,1,1,170,368
48021,"Medicine Hat/Medicine Hat"," 57","Taber",11,5,4,143,24,2,1,0,190,484
48021,"Medicine Hat/Medicine Hat"," 58","Taber",5,4,1,105,11,3,0,0,129,310
48021,"Medicine Hat/Medicine Hat"," 59","Taber",6,13,2,143,25,0,2,1,192,463
48021,"Medicine Hat/Medicine Hat"," 60","Buffalo",1,5,1,86,2,0,0,0,95,338
48021,"Medicine Hat/Medicine Hat"," 61","Ralston",8,22,0,119,9,5,2,1,166,297
48021,"Medicine Hat/Medicine Hat"," 62","Hilda",10,3,4,51,7,1,0,0,76,173
48021,"Medicine Hat/Medicine Hat"," 63","Bowmanton",4,4,1,71,29,5,0,0,114,202
48021,"Medicine Hat/Medicine Hat"," 64","Schuler",6,3,1,84,4,2,0,0,100,170
48021,"Medicine Hat/Medicine Hat"," 65","Bowell",7,5,0,88,14,5,2,0,121,273
48021,"Medicine Hat/Medicine Hat"," 66A","Redcliff",14,9,2,92,33,0,2,0,152,365
48021,"Medicine Hat/Medicine Hat"," 66B","Redcliff",7,9,0,122,24,1,0,0,163,408
48021,"Medicine Hat/Medicine Hat"," 67","Redcliff",7,17,0,85,17,2,0,1,129,315
48021,"Medicine Hat/Medicine Hat"," 68","Redcliff",9,10,0,114,24,2,0,0,159,400
48021,"Medicine Hat/Medicine Hat"," 69","Redcliff",11,10,1,124,26,6,1,0,179,449
48021,"Medicine Hat/Medicine Hat"," 70","Redcliff",11,10,3,158,28,6,2,0,218,492
48021,"Medicine Hat/Medicine Hat"," 70-1","Redcliff",19,10,3,159,22,3,1,0,217,543
48021,"Medicine Hat/Medicine Hat"," 71","Redcliff",7,18,2,127,20,3,3,0,180,477
48021,"Medicine Hat/Medicine Hat"," 72","Redcliff",5,12,3,84,11,4,0,0,119,297
48021,"Medicine Hat/Medicine Hat"," 73","Medicine Hat",8,10,2,140,19,5,1,0,185,402
48021,"Medicine Hat/Medicine Hat"," 74","Seven Persons",7,6,13,208,15,12,3,0,264,488
48021,"Medicine Hat/Medicine Hat"," 75","Bullshead",8,11,3,175,24,11,1,1,234,457
48021,"Medicine Hat/Medicine Hat"," 76A","Dunmore",16,12,2,216,25,7,0,0,278,570
48021,"Medicine Hat/Medicine Hat"," 76B","Dunmore",10,12,3,209,26,9,1,0,270,564
48021,"Medicine Hat/Medicine Hat"," 77","Irvine",12,9,2,92,20,6,0,0,141,336
48021,"Medicine Hat/Medicine Hat"," 78","Irvine",8,13,0,95,17,10,2,1,146,313
48021,"Medicine Hat/Medicine Hat"," 79","Elkwater",6,2,3,110,2,2,2,0,127,304
48021,"Medicine Hat/Medicine Hat"," 80","Medicine Hat",8,5,2,78,30,1,2,0,126,493
48021,"Medicine Hat/Medicine Hat"," 81A","Medicine Hat",17,23,5,156,40,9,1,1,252,589
48021,"Medicine Hat/Medicine Hat"," 81B","Medicine Hat",18,11,1,186,18,5,3,3,245,329
48021,"Medicine Hat/Medicine Hat"," 82","Medicine Hat",18,6,5,114,19,4,1,0,167,381
48021,"Medicine Hat/Medicine Hat"," 83","Medicine Hat",15,17,0,104,36,4,0,0,176,566
48021,"Medicine Hat/Medicine Hat"," 83-1","Medicine Hat",16,13,1,176,31,1,1,0,239,558
48021,"Medicine Hat/Medicine Hat"," 84A","Medicine Hat",5,12,3,91,24,6,0,0,141,321
48021,"Medicine Hat/Medicine Hat"," 84B","Medicine Hat",6,7,1,77,16,3,0,0,110,331
48021,"Medicine Hat/Medicine Hat"," 85A","Medicine Hat",8,9,0,134,17,6,0,0,174,506
48021,"Medicine Hat/Medicine Hat"," 85B","Medicine Hat",20,14,3,134,26,7,1,0,205,457
48021,"Medicine Hat/Medicine Hat"," 85-1A","Medicine Hat",7,9,3,101,18,1,0,0,139,377
48021,"Medicine Hat/Medicine Hat"," 85-1B","Medicine Hat",15,9,0,99,30,5,0,0,158,414
48021,"Medicine Hat/Medicine Hat"," 86","Medicine Hat",13,6,0,76,41,7,0,0,143,340
48021,"Medicine Hat/Medicine Hat"," 87","Medicine Hat",10,14,5,112,25,2,0,0,168,382
48021,"Medicine Hat/Medicine Hat"," 88","Medicine Hat",14,19,3,106,29,8,1,0,180,403
48021,"Medicine Hat/Medicine Hat"," 89","Medicine Hat",14,8,1,61,24,5,2,0,115,285
48021,"Medicine Hat/Medicine Hat"," 90","Medicine Hat",14,8,1,81,27,1,0,0,132,356
48021,"Medicine Hat/Medicine Hat"," 91","Medicine Hat",6,11,1,93,23,10,2,1,147,433
48021,"Medicine Hat/Medicine Hat"," 92","Medicine Hat",8,16,1,101,24,5,1,1,157,330
48021,"Medicine Hat/Medicine Hat"," 93","Medicine Hat",8,4,0,46,13,2,1,0,74,191
48021,"Medicine Hat/Medicine Hat"," 94","Medicine Hat",13,16,3,116,22,3,1,0,174,412
48021,"Medicine Hat/Medicine Hat"," 95","Medicine Hat",18,10,6,115,33,3,3,0,188,402
48021,"Medicine Hat/Medicine Hat"," 96","Medicine Hat",16,10,0,125,20,4,3,0,178,329
48021,"Medicine Hat/Medicine Hat"," 97","Medicine Hat",20,7,4,106,19,2,3,0,161,291
48021,"Medicine Hat/Medicine Hat"," 98","Medicine Hat",6,9,0,85,19,1,1,2,123,293
48021,"Medicine Hat/Medicine Hat"," 99","Medicine Hat",11,10,0,74,24,8,2,0,129,267
48021,"Medicine Hat/Medicine Hat"," 100","Medicine Hat",25,11,2,94,21,3,1,1,158,324
48021,"Medicine Hat/Medicine Hat"," 101","Medicine Hat",15,17,0,89,31,4,2,0,158,403
48021,"Medicine Hat/Medicine Hat"," 102","Medicine Hat",9,16,1,76,26,5,1,0,134,344
48021,"Medicine Hat/Medicine Hat"," 103","Medicine Hat",23,6,0,84,28,1,3,0,145,357
48021,"Medicine Hat/Medicine Hat"," 104","Medicine Hat",31,17,1,201,30,9,1,3,293,507
48021,"Medicine Hat/Medicine Hat"," 105","Medicine Hat",21,16,2,94,30,5,1,0,169,415
48021,"Medicine Hat/Medicine Hat"," 106","Medicine Hat",18,18,0,132,27,19,6,1,221,466
48021,"Medicine Hat/Medicine Hat"," 107","Medicine Hat",18,23,1,76,36,6,1,1,162,340
48021,"Medicine Hat/Medicine Hat"," 108","Medicine Hat",16,13,0,65,25,5,1,0,125,333
48021,"Medicine Hat/Medicine Hat"," 109","Medicine Hat",16,9,2,66,23,3,1,0,120,412
48021,"Medicine Hat/Medicine Hat"," 110","Medicine Hat",11,10,2,40,21,3,1,1,89,298
48021,"Medicine Hat/Medicine Hat"," 111","Medicine Hat",20,27,6,140,50,6,1,0,250,647
48021,"Medicine Hat/Medicine Hat"," 112","Medicine Hat",9,2,1,102,20,2,2,0,138,327
48021,"Medicine Hat/Medicine Hat"," 113","Medicine Hat",18,6,3,107,9,2,0,0,145,442
48021,"Medicine Hat/Medicine Hat"," 114","Medicine Hat",9,23,3,75,17,4,2,0,133,370
48021,"Medicine Hat/Medicine Hat"," 115","Medicine Hat",27,20,0,88,23,3,1,0,162,451
48021,"Medicine Hat/Medicine Hat"," 116","Medicine Hat",17,22,2,89,38,3,1,0,172,447
48021,"Medicine Hat/Medicine Hat"," 117","Medicine Hat",14,18,2,82,24,5,1,1,147,446
48021,"Medicine Hat/Medicine Hat"," 118","Medicine Hat",11,17,0,83,23,4,0,1,139,443
48021,"Medicine Hat/Medicine Hat"," 119","Medicine Hat",10,15,1,73,30,2,1,0,132,305
48021,"Medicine Hat/Medicine Hat"," 120","Medicine Hat",19,12,0,64,18,1,1,0,115,296
48021,"Medicine Hat/Medicine Hat"," 121","Medicine Hat",18,16,1,77,44,6,0,0,162,419
48021,"Medicine Hat/Medicine Hat"," 122","Medicine Hat",6,8,2,44,12,4,1,0,77,377
48021,"Medicine Hat/Medicine Hat"," 123","Medicine Hat",8,12,1,50,16,2,1,0,90,365
48021,"Medicine Hat/Medicine Hat"," 124","Medicine Hat",13,18,5,124,24,5,2,0,191,358
48021,"Medicine Hat/Medicine Hat"," 125","Medicine Hat",20,21,5,106,20,4,3,0,179,390
48021,"Medicine Hat/Medicine Hat"," 126","Medicine Hat",13,10,3,86,29,7,0,0,148,387
48021,"Medicine Hat/Medicine Hat"," 127","Medicine Hat",16,8,1,66,15,7,0,0,113,317
48021,"Medicine Hat/Medicine Hat"," 128","Medicine Hat",9,6,3,119,13,6,2,0,158,346
48021,"Medicine Hat/Medicine Hat"," 128-1A","Medicine Hat",11,8,1,141,22,5,0,1,189,417
48021,"Medicine Hat/Medicine Hat"," 128-1B","Medicine Hat",8,12,0,163,23,5,3,0,214,462
48021,"Medicine Hat/Medicine Hat"," 128-1C","Medicine Hat",21,18,2,142,23,8,1,1,216,443
48021,"Medicine Hat/Medicine Hat"," 128-2","Medicine Hat",11,6,3,112,26,4,4,0,166,389
48021,"Medicine Hat/Medicine Hat"," 128-3A","Medicine Hat",19,16,0,83,18,4,0,0,140,367
48021,"Medicine Hat/Medicine Hat"," 128-3B","Medicine Hat",12,8,0,107,6,1,0,0,134,333
48021,"Medicine Hat/Medicine Hat"," 129","Medicine Hat",7,17,1,94,28,3,0,0,150,285
48021,"Medicine Hat/Medicine Hat"," 130","Medicine Hat",10,10,1,47,12,2,0,0,82,285
48021,"Medicine Hat/Medicine Hat"," 131","Medicine Hat",19,16,3,70,15,4,0,1,128,224
48021,"Medicine Hat/Medicine Hat"," 132","Medicine Hat",12,5,3,114,19,8,1,0,162,290
48021,"Medicine Hat/Medicine Hat"," 133","Medicine Hat",7,8,3,68,18,3,5,0,112,251
48021,"Medicine Hat/Medicine Hat"," 134","Medicine Hat",10,9,1,92,23,4,0,0,139,390
48021,"Medicine Hat/Medicine Hat"," 135","Medicine Hat",27,5,2,194,16,4,1,8,257,414
48021,"Medicine Hat/Medicine Hat"," 136","Medicine Hat",16,1,3,124,24,4,4,0,176,336
48021,"Medicine Hat/Medicine Hat"," 137","Medicine Hat",14,8,1,100,24,4,0,0,151,330
48021,"Medicine Hat/Medicine Hat"," 138","Medicine Hat",25,4,4,220,12,6,0,0,271,486
48021,"Medicine Hat/Medicine Hat"," 139","Medicine Hat",19,0,3,159,27,6,1,1,216,367
48021,"Medicine Hat/Medicine Hat"," 140","Medicine Hat",15,7,1,76,13,3,0,1,116,358
48021,"Medicine Hat/Medicine Hat"," 141","Medicine Hat",13,16,1,92,26,7,0,0,155,387
48021,"Medicine Hat/Medicine Hat"," 142","Medicine Hat",22,7,2,103,33,6,2,0,175,523
48021,"Medicine Hat/Medicine Hat"," 143A","Medicine Hat",20,13,0,143,32,3,0,0,211,495
48021,"Medicine Hat/Medicine Hat"," 143B","Medicine Hat",7,12,0,151,24,5,0,1,200,524
48021,"Medicine Hat/Medicine Hat"," 143-1","Medicine Hat",15,14,2,138,30,5,0,0,204,464
48021,"Medicine Hat/Medicine Hat"," 144","Medicine Hat",27,11,6,186,35,6,1,2,274,541
48021,"Medicine Hat/Medicine Hat"," 145","Medicine Hat",9,3,0,137,25,6,2,0,182,391
48021,"Medicine Hat/Medicine Hat"," 146A","Medicine Hat",12,16,0,95,18,2,1,0,144,431
48021,"Medicine Hat/Medicine Hat"," 146B","Medicine Hat",7,9,0,85,21,3,1,0,126,379
48021,"Medicine Hat/Medicine Hat"," 146C","Medicine Hat",10,7,0,100,14,2,4,0,137,378
48021,"Medicine Hat/Medicine Hat"," 147","Medicine Hat",16,15,1,189,20,4,4,0,249,483
48021,"Medicine Hat/Medicine Hat"," 148","Medicine Hat",8,10,3,75,27,2,1,1,127,329
48021,"Medicine Hat/Medicine Hat"," 149","Medicine Hat",15,7,0,94,26,1,3,0,146,368
48021,"Medicine Hat/Medicine Hat"," 150","Medicine Hat",19,14,0,112,26,10,0,1,182,376
48021,"Medicine Hat/Medicine Hat"," 151","Medicine Hat",18,13,1,126,34,4,1,1,198,460
48021,"Medicine Hat/Medicine Hat"," 152","Medicine Hat",4,3,0,90,13,1,1,0,112,324
48021,"Medicine Hat/Medicine Hat"," 153","Medicine Hat",8,10,0,83,30,7,1,0,139,349
48021,"Medicine Hat/Medicine Hat"," 154","Medicine Hat",21,9,1,107,24,1,1,0,164,433
48021,"Medicine Hat/Medicine Hat"," 155","Medicine Hat",13,11,4,95,23,0,1,0,147,269
48021,"Medicine Hat/Medicine Hat"," 156","Medicine Hat",10,5,1,85,25,4,1,0,131,317
48021,"Medicine Hat/Medicine Hat"," 157","Medicine Hat",15,9,2,88,17,1,0,0,132,335
48021,"Medicine Hat/Medicine Hat"," 158","Medicine Hat",8,9,2,81,17,8,0,1,126,312
48021,"Medicine Hat/Medicine Hat"," 159","Medicine Hat",13,11,3,105,25,4,1,1,163,369
48021,"Medicine Hat/Medicine Hat"," 160","Medicine Hat",3,5,2,63,10,0,1,0,84,287
48021,"Medicine Hat/Medicine Hat"," 161","Medicine Hat",7,14,1,93,18,4,0,0,137,390
48021,"Medicine Hat/Medicine Hat"," 162","Medicine Hat",14,11,2,126,23,12,0,0,188,450
48021,"Medicine Hat/Medicine Hat"," 163","Medicine Hat",15,12,4,174,23,6,4,0,238,551
48021,"Medicine Hat/Medicine Hat"," 164","Medicine Hat",13,21,3,156,39,6,3,0,241,515
48021,"Medicine Hat/Medicine Hat"," 165","Medicine Hat",26,12,1,108,31,6,4,0,188,425
48021,"Medicine Hat/Medicine Hat"," 166","Medicine Hat",17,9,2,123,20,8,1,0,180,387
48021,"Medicine Hat/Medicine Hat"," 167","Medicine Hat",11,12,1,128,21,3,1,0,177,356
48021,"Medicine Hat/Medicine Hat"," 168","Medicine Hat",8,17,3,119,15,13,2,0,177,385
48021,"Medicine Hat/Medicine Hat"," 169","Medicine Hat",12,12,3,147,29,8,1,0,212,527
48021,"Medicine Hat/Medicine Hat"," 170","Medicine Hat",11,13,0,90,32,9,0,0,155,320
48021,"Medicine Hat/Medicine Hat"," 171","Medicine Hat",13,10,0,93,17,1,0,0,134,314
48021,"Medicine Hat/Medicine Hat"," 172","Medicine Hat",13,12,6,162,27,4,5,0,229,430
48021,"Medicine Hat/Medicine Hat"," 173","Medicine Hat",12,7,0,178,25,8,2,0,232,433
48021,"Medicine Hat/Medicine Hat"," 174","Medicine Hat",16,17,6,195,24,8,2,3,271,480
48021,"Medicine Hat/Medicine Hat"," 175","Juno",7,12,12,126,8,7,7,0,179,357
48021,"Medicine Hat/Medicine Hat"," 176","Bow Island",8,2,4,81,10,5,5,0,115,273
48021,"Medicine Hat/Medicine Hat"," 177","Bow Island",7,7,14,140,14,11,1,0,194,436
48021,"Medicine Hat/Medicine Hat"," 178","Bow Island",4,19,10,120,15,2,3,1,174,308
48021,"Medicine Hat/Medicine Hat"," 179","Bow Island",10,10,19,138,10,4,2,1,194,448
48021,"Medicine Hat/Medicine Hat"," 180","Bow Island",10,4,10,122,10,3,0,0,159,369
48021,"Medicine Hat/Medicine Hat"," 181","Skiff",0,5,1,43,1,0,0,0,50,266
48021,"Medicine Hat/Medicine Hat"," 182","Foremost",3,9,8,141,16,7,3,0,187,383
48021,"Medicine Hat/Medicine Hat"," 183","Foremost",7,4,2,132,6,4,2,0,157,252
48021,"Medicine Hat/Medicine Hat"," 184","Etzikom",1,2,1,54,4,4,1,0,67,306
48021,"Medicine Hat/Medicine Hat"," 185","Manyberries",5,8,0,120,4,3,0,1,141,251
48021,"Medicine Hat/Medicine Hat"," 186","Aden",0,0,0,15,0,2,0,0,17,28
48021,"Medicine Hat/Medicine Hat"," 400","Medicine Hat",Merged with No. 81B/Fusionné avec le nº 81B,,,,,,,,,81
48021,"Medicine Hat/Medicine Hat"," 401","Medicine Hat",22,1,1,103,11,5,1,0,144,201
48021,"Medicine Hat/Medicine Hat"," 402","Medicine Hat",19,3,4,130,22,2,1,0,181,254
48021,"Medicine Hat/Medicine Hat"," 500","Mobile poll/Bureau itinérant",14,8,9,139,9,1,0,7,187,277
48021,"Medicine Hat/Medicine Hat"," 501","Mobile poll/Bureau itinérant",23,5,2,65,10,2,1,1,109,286
48021,"Medicine Hat/Medicine Hat"," 502","Mobile poll/Bureau itinérant",7,1,1,43,2,1,0,1,56,110
48021,"Medicine Hat/Medicine Hat"," 503","Mobile poll/Bureau itinérant",15,3,3,43,11,3,2,1,81,158
48021,"Medicine Hat/Medicine Hat"," 504","Mobile poll/Bureau itinérant",9,3,8,80,17,2,2,2,123,178
48021,"Medicine Hat/Medicine Hat"," 505","Mobile poll/Bureau itinérant",4,4,3,33,6,1,3,4,58,129
48021,"Medicine Hat/Medicine Hat"," 600","Newell County No. 4--Bassano",2,6,2,72,6,2,0,0,90,
48021,"Medicine Hat/Medicine Hat"," 601","Newell County No. 4--Brooks",24,37,14,421,32,10,5,2,545,
48021,"Medicine Hat/Medicine Hat"," 602","Cypress County--Empress",4,6,1,38,6,1,0,0,56,
48021,"Medicine Hat/Medicine Hat"," 603","Cypress County--Redcliff",8,9,5,115,10,4,2,1,154,
48021,"Medicine Hat/Medicine Hat"," 604","Taber--Vauxhall",5,4,2,68,5,5,1,0,90,
48021,"Medicine Hat/Medicine Hat"," 605","Taber",26,12,5,219,18,3,4,0,287,
48021,"Medicine Hat/Medicine Hat"," 606","Bow Island",6,5,10,60,6,0,3,0,90,
48021,"Medicine Hat/Medicine Hat"," 607","Medicine Hat",41,37,4,262,39,14,0,2,399,
48021,"Medicine Hat/Medicine Hat"," 608","Medicine Hat",22,10,1,112,27,1,2,0,175,
48021,"Medicine Hat/Medicine Hat"," 609","Medicine Hat",29,19,2,212,38,17,2,2,321,
48021,"Medicine Hat/Medicine Hat"," 610","Medicine Hat--Cypress County",51,28,8,444,36,11,4,1,583,
48021,"Medicine Hat/Medicine Hat"," 611","Cypress County--Dunmore",2,1,1,60,8,2,0,0,74,
48021,"Medicine Hat/Medicine Hat"," 612","Forty Mile County No. 8",1,2,0,42,3,1,0,0,49,
48021,"Medicine Hat/Medicine Hat",,Group 1/Groupe 1,32,6,0,45,13,1,1,1,99,172
48021,"Medicine Hat/Medicine Hat",,Group 2/Groupe 2,37,26,6,187,39,7,1,3,306,

