Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brendan Bell,Dennis Bevington,Sam Gamble,Gabrielle Mackenzie-Scott,Noeline Villebrun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Western Arctic/Western Arctic"," 58B","Yellowknife",50,49,9,16,0,0,124,336
61001,"Western Arctic/Western Arctic"," 59","Yellowknife",59,90,20,29,4,0,202,465
61001,"Western Arctic/Western Arctic"," 60","Yellowknife",65,91,15,25,0,0,196,397
61001,"Western Arctic/Western Arctic"," 61","Yellowknife",40,66,12,21,3,0,142,442
61001,"Western Arctic/Western Arctic"," 62","Yellowknife",51,75,10,22,4,1,163,442
61001,"Western Arctic/Western Arctic"," 63A","Yellowknife",44,89,12,21,2,0,168,315
61001,"Western Arctic/Western Arctic"," 63B","Yellowknife",60,83,12,17,1,0,173,316
61001,"Western Arctic/Western Arctic"," 64","Yellowknife",69,97,18,49,13,1,247,548
61001,"Western Arctic/Western Arctic"," 65","Yellowknife",19,31,4,3,0,1,58,170
61001,"Western Arctic/Western Arctic"," 66","Detah",11,22,3,9,10,0,55,116
61001,"Western Arctic/Western Arctic"," 67","Kakisa",3,16,1,4,2,0,26,25
61001,"Western Arctic/Western Arctic"," 68","Enterprise",11,12,2,1,0,0,26,69
61001,"Western Arctic/Western Arctic"," 69","Hay River",99,77,22,15,7,0,220,454
61001,"Western Arctic/Western Arctic"," 70","Hay River",132,94,8,13,3,2,252,592
61001,"Western Arctic/Western Arctic"," 71","Hay River",75,77,14,13,1,0,180,474
61001,"Western Arctic/Western Arctic"," 72A","Hay River",63,53,4,8,1,0,129,330
61001,"Western Arctic/Western Arctic"," 72B","Hay River",75,38,9,11,3,0,136,317
61001,"Western Arctic/Western Arctic"," 73","Hay River",125,76,7,15,1,0,224,529
61001,"Western Arctic/Western Arctic"," 74","Hay River",7,28,1,18,6,1,61,174
61001,"Western Arctic/Western Arctic"," 75","Fort Resolution",15,69,3,15,23,1,126,370
61001,"Western Arctic/Western Arctic"," 76","Fort Smith",70,160,5,10,2,1,248,542
61001,"Western Arctic/Western Arctic"," 77","Fort Smith",40,108,5,6,1,1,161,389
61001,"Western Arctic/Western Arctic"," 78","Fort Smith",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 79","Fort Smith",49,157,6,8,1,1,222,466
61001,"Western Arctic/Western Arctic"," 80","Fort Smith",53,141,5,14,2,0,215,429
61001,"Western Arctic/Western Arctic"," 81","Lutselk'e",6,48,8,18,16,2,98,222
61001,"Western Arctic/Western Arctic"," 600","Beaufort-Delta",16,23,1,5,0,0,45,
61001,"Western Arctic/Western Arctic"," 601","Sahtu",14,17,4,6,0,0,41,
61001,"Western Arctic/Western Arctic"," 602","Deh Cho",23,25,2,14,2,1,67,
61001,"Western Arctic/Western Arctic"," 603","T'Licho",4,2,0,5,0,0,11,
61001,"Western Arctic/Western Arctic"," 604","Yellowknife",171,99,16,27,1,0,314,
61001,"Western Arctic/Western Arctic"," 605","Yellowknife",187,157,33,49,5,0,431,
61001,"Western Arctic/Western Arctic"," 606","Hay River",79,62,5,13,2,0,161,
61001,"Western Arctic/Western Arctic"," 607","Fort Smith",33,75,7,7,0,0,122,
61001,"Western Arctic/Western Arctic",,Group 1/Groupe 1,36,52,19,53,11,3,174,208
61001,"Western Arctic/Western Arctic",,Group 2/Groupe 2,239,223,41,81,17,6,607,

