pollster,date,mode,n,CPC,NDP,LPC,BQ,GPC
Innovative Research,2015-10-01,online,1562,29,29,31,5,6
Nanos Research,2015-10-01,telephone – rolling (1/3),1200,31.9,25.9,33.5,4.3,3.9
Léger Marketing,2015-09-30,online,2107,30,26,32,6,6
Angus Reid,2015-09-30,online,2021,34,27,27,6,5
Nanos Research,2015-09-30,telephone – rolling (1/3),1200,32.8,26.1,31.7,4.8,4.1
Forum Research,2015-09-29,IVR,1499,34,28,27,5,5
Nanos Research,2015-09-29,telephone – rolling (1/3),1200,32.1,26.3,32.2,4.6,4.4
EKOS,2015-09-29,IVR,2609,33.4,25.6,26.7,5.3,7.8
Nanos Research,2015-09-28,telephone – rolling (1/3),1200,32.6,27,31.4,4.4,4
Ipsos Reid,2015-09-28,online,1354,32,27,33,4,4
Nanos Research,2015-09-27,telephone – rolling (1/3),1200,33,26.9,31.6,4.2,3.6
Abacus Data,2015-09-27,online,3814,32,27,29,5,5
Nanos Research,2015-09-26,telephone – rolling (1/3),1200,31.5,27.6,32.5,4,3.7
Nanos Research,2015-09-25,telephone – rolling (1/3),1200,29.6,30.3,31.8,3.1,4.5
Nanos Research,2015-09-24,telephone – rolling (1/3),1200,28.9,31.1,32.3,2.5,4.2
Innovative Research,2015-09-24,online,2805,31,29,28,3,8
Forum Research,2015-09-23,IVR,1557,31,28,31,4,4
Nanos Research,2015-09-23,telephone – rolling (1/3),1200,30.5,30.8,31.5,2.3,3.7
Léger Marketing,2015-09-23,online,2115,31,29,31,5,5
Innovative Research,2015-09-23,telephone,1784,32,27,30,3,7
Nanos Research,2015-09-22,telephone – rolling (1/3),1200,31.5,29.1,31.6,2.6,4.2
EKOS,2015-09-22,IVR,2343,35.4,24.5,26.3,4.2,7.7
Nanos Research,2015-09-21,telephone – rolling (1/3),1200,31.3,29.4,30.3,3.4,4.6
Ipsos Reid,2015-09-21,online,1103,27,30,33,5,4
Nanos Research,2015-09-20,telephone – rolling (1/3),1200,31,29.1,29.4,3.8,5.5
Nanos Research,2015-09-19,telephone – rolling (1/3),1200,30.8,29.1,30.3,3.7,5.1
Forum Research,2015-09-18,IVR,922,33,29,29,4,4
Nanos Research,2015-09-18,telephone – rolling (1/3),1200,30.4,28.9,30.8,3,6
Nanos Research,2015-09-17,telephone – rolling (1/3),1200,29.1,31.3,31,2.3,5.8
Nanos Research,2015-09-16,telephone – rolling (1/3),1200,30.1,30.4,30.9,2.5,5.8
Forum Research,2015-09-15,IVR,1402,32,30,28,4,6
Nanos Research,2015-09-15,telephone – rolling (1/3),1200,29,31.6,30.1,2.8,5.3
Environics,2015-09-15,telephone,1001,26,34,29,4,8
EKOS,2015-09-15,IVR,2704,29.6,29.9,27.4,3.7,7.6
Nanos Research,2015-09-14,telephone – rolling (1/3),1200,31,30.4,29.6,2.9,4.8
Ipsos Reid,2015-09-13,online,980,29,32,31,4,4
Nanos Research,2015-09-13,telephone – rolling (1/3),1200,30.2,31.3,30.3,2.6,4.3
Nanos Research,2015-09-12,telephone – rolling (1/3),1200,31.7,30.8,30.5,2.5,4.1
Abacus Data,2015-09-11,online,1500,29,31,29,4,6
Nanos Research,2015-09-11,telephone – rolling (1/3),1200,30.9,30.1,31.7,2.8,4
Forum Research,2015-09-10,IVR,1308,28,36,29,3,3
Nanos Research,2015-09-10,telephone – rolling (1/3),1200,30.8,29.9,30.9,3.2,4.6
Innovative Research,2015-09-10,online,2121,28,31,30,4,6
Nanos Research,2015-09-09,telephone – rolling (1/3),1200,28.6,30.6,32.1,3.6,4.8
Nanos Research,2015-09-08,telephone – rolling (1/3),1200,25.9,31.2,32.5,3.7,6.1
Ipsos Reid,2015-09-08,online,949,29,34,30,3,3
EKOS,2015-09-08,IVR,2677,31.8,29.6,26.9,4.6,5.9
Nanos Research,2015-09-06,telephone – rolling,1200,26.2,32.7,30.8,3.7,6
Léger Marketing,2015-09-02,online,2119,28,31,30,4,5
Forum Research,2015-09-01,IVR,1384,24,36,32,4,4
EKOS,2015-09-01,IVR,3243,29.5,30.2,27.7,4.2,6.4
Abacus Data,2015-08-28,online,1500,30,31,28,3,7
Nanos Research,2015-08-28,telephone – rolling (1/4),1000,28.8,30.8,29.7,4.2,5.4
Innovative Research,2015-08-26,online,3274,30,32,27,4,6
Ipsos Reid,2015-08-26,online,1000,29,33,30,4,4
EKOS,2015-08-25,IVR,3524,28.1,33.6,26.7,4.1,5.8
Forum Research,2015-08-24,IVR,1440,23,40,30,3,3
Angus Reid[LV],2015-08-24,online,6226,32,36,23,4,4
Nanos Research,2015-08-21,telephone – rolling (1/4),1000,30.1,29.1,29.9,4.7,5.2
Forum Research,2015-08-19,IVR,1473,29,34,28,4,4
Abacus Data,2015-08-17,online,1439,29,35,26,3,6
Nanos Research,2015-08-14,telephone – rolling (1/4),1000,31.8,29,28.7,4.5,5.3
Léger Marketing,2015-08-12,online,2095,27,33,28,5,6
Mainstreet Research,2015-08-11,IVR,5401,31,30,29,4,6
Forum Research,2015-08-11,IVR,1392,28,34,27,6,4
EKOS,2015-08-11,IVR,3055,30.4,31.8,24.2,4.2,7.3
Ipsos Reid,2015-08-10,telephone/online,2022,30.8,33,27.8,3.9,4
Nanos Research,2015-08-07,telephone – rolling (1/4),1000,31.2,30.4,28.6,4.2,5
Forum Research,2015-08-02,IVR,1399,28,39,25,5,3
