pollster,date,LPC,CPC,NDP,BQ,Green
Nanos Research,2005-12-20,37,31,14,13,6
Strategic Counsel,2005-12-19,33,29,17,15,6
Nanos Research,2005-12-19,37,29,16,13,5
Strategic Counsel,2005-12-18,34,29,19,13,5
Pollara,2005-12-19,37,34,17,10,
Nanos Research,2005-12-18,38,29,16,12,4
Nanos Research,2005-12-17,38,30,15,13,4
Nanos Research,2005-12-16,39,31,14,12,5
Strategic Counsel,2005-12-15,34,30,18,13,5
Nanos Research,2005-12-15,39,33,12,12,5
Strategic Counsel,2005-12-14,34,30,17,14,5
Nanos Research,2005-12-14,39,32,12,12,5
Leger Marketing,2005-12-13,35,29,17,12,6
Strategic Counsel,2005-12-13,34,29,17,14,6
Nanos Research,2005-12-13,38,31,14,12,5
Strategic Counsel,2005-12-12,33,31,17,13,6
Nanos Research,2005-12-12,38,30,13,14,5
Ipsos-Reid,2005-12-11,36,27,17,14,5
Pollara,2005-12-11,38,30,15,12,
Strategic Counsel,2005-12-11,34,30,16,14,6
Nanos Research,2005-12-11,39,31,14,13,4
Strategic Counsel,2005-12-10,35,30,15,14,6
Nanos Research,2005-12-10,39,32,14,13,4
Decima Research,2005-12-09,36,27,20,13,4
Nanos Research,2005-12-09,39,30,15,11,4
Strategic Counsel,2005-12-08,36,28,16,14,6
Nanos Research,2005-12-08,41,26,18,11,4
Ipsos-Reid,2005-12-08,34,30,15,14,5
Leger Marketing,2005-12-07,39,27,16,12,5
Strategic Counsel,2005-12-07,36,30,15,14,5
Nanos Research,2005-12-07,40,26,18,11,4
Strategic Counsel,2005-12-06,35,29,16,13,6
Nanos Research,2005-12-06,40,28,17,11,4
Decima Research,2005-12-05,34,26,20,14,
Strategic Counsel,2005-12-05,35,29,16,14,6
Nanos Research,2005-12-05,38,30,16,12,5
Strategic Counsel,2005-12-04,35,29,16,14,6
Nanos Research,2005-12-04,37,30,16,13,5
Strategic Counsel,2005-12-03,34,30,16,14,6
Nanos Research,2005-12-03,38,29,15,14,5
Nanos Research,2005-12-02,36,31,14,14,5
Ipsos-Reid,2005-12-01,33,31,17,14,5
Strategic Counsel,2005-12-01,35,30,16,14,6
Nanos Research,2005-12-01,37,29,15,14,5
EKOS,2005-12-01,34.1,27.4,18.4,14,6
Strategic Counsel,2005-11-30,35,30,17,14,5
Ipsos-Reid,2005-11-28,31,31,18,15,5
Decima Research,2005-11-28,36,28,19,12,
Strategic Counsel,2005-11-27,35,29,17,14,5
Pollara,2005-11-27,36,31,16,14,
Environics,2005-11-25,35,30,20,14,1
EKOS,2005-11-24,38.7,29.4,16.9,10.6,3
Ipsos-Reid,2005-11-24,34,30,16,15,5
Ipsos-Reid,2005-11-15,36,27,16,13,6
Decima Research,2005-11-14,33,26,22,13,
Pollara,2005-11-13,36,28,20,,
Nanos Research,2005-11-13,34,28,20,14,4
Ipsos-Reid,2005-11-10,34,28,19,14,4
EKOS,2005-11-09,33,27.9,20.9,13.1,4.9
Leger Marketing,2005-11-08,34,26,18,11,7
Decima Research,2005-11-07,33,30,20,14,
Strategic Counsel,2005-11-06,35,28,16,13,8
Strategic Counsel,2005-11-03,28,31,20,13,7
Ipsos-Reid,2005-11-02,31,30,19,13,5
