district_code,district_name,party,candidate_last,candidate_first
12001,Cape Breton--Canso,Conservative,Kennedy,Derrick Clarence
12001,Cape Breton--Canso,NDP,Simmons,Marney Jeanne
12002,Central Nova,Green,Chisholm,Matthew
12002,Central Nova,Liberal,Hamilton,John R.
12002,Central Nova,Conservative,MacKay,Peter G.
12002,Central Nova,NDP,Parker,David K.
12003,Dartmouth--Cole Harbour,NDP,Chisholm,Robert
12003,Dartmouth--Cole Harbour,Liberal,Savage,Mike
12003,Dartmouth--Cole Harbour,Green,Shreenan,Paul
12003,Dartmouth--Cole Harbour,Conservative,Webber,Wanda
12004,Halifax,Green,Dewar,Michael
12004,Halifax,Liberal,Kutcher,Stan
12004,Halifax,NDP,Leslie,Megan
12004,Halifax,Conservative,Nikolaou,George
12004,Halifax,Marxist-Leninist,Seed,Tony
12005,Halifax West,NDP,Ash,Gregor
12005,Halifax West,Conservative,Pretty,Bruce Robert
12005,Halifax West,Liberal,Regan,Geoff
12005,Halifax West,Green,Trappenberg,Thomas
12006,Kings--Hants,Liberal,Brison,Scott
12006,Kings--Hants,Conservative,Morse,David
12006,Kings--Hants,Green,Richardson,Sheila
12006,Kings--Hants,NDP,Rogers,Mark
12007,Cumberland--Colchester--Musquodoboit Valley,Conservative,Armstrong,Scott
12007,Cumberland--Colchester--Musquodoboit Valley,Green,Blanch,Jason
12007,Cumberland--Colchester--Musquodoboit Valley,Liberal,Burrows,Jim
12007,Cumberland--Colchester--Musquodoboit Valley,Christian Heritage,Hnatiuk,Jim
12007,Cumberland--Colchester--Musquodoboit Valley,NDP,Robinson,Wendy
12008,Sackville--Eastern Shore,Liberal,Hemming,Scott
12008,Sackville--Eastern Shore,Conservative,Mimnagh,Adam
12008,Sackville--Eastern Shore,Green,Percy,John
12008,Sackville--Eastern Shore,NDP,Stoffer,Peter
12009,South Shore--St. Margaret's,NDP,Earle,Gordon
12009,South Shore--St. Margaret's,Conservative,Keddy,Gerald
12009,South Shore--St. Margaret's,Green,MacLellan,Kris
12009,South Shore--St. Margaret's,Liberal,Wells,Derek
12010,Sydney--Victoria,Conservative,Clarke,Cecil
12010,Sydney--Victoria,Liberal,Eyking,Mark
12010,Sydney--Victoria,NDP,MacLeod,Kathy
12010,Sydney--Victoria,Green,Milburn,Chris
12011,West Nova,NDP,Barron,George
12011,West Nova,Green,Johnson,Ross
12011,West Nova,Conservative,Kerr,Greg
12011,West Nova,Liberal,Thibault,Robert
13001,Acadie--Bathurst,Liberal,Gionet,Jean Marie
13001,Acadie--Bathurst,NDP,Godin,Yvon
13001,Acadie--Bathurst,Conservative,Robichaud,Louis
13002,Beauséjour,Green,Arsenault,Natalie
13002,Beauséjour,Conservative,Chapman,Evelyne
13002,Beauséjour,Liberal,LeBlanc,Dominic
13002,Beauséjour,NDP,Levi-Peters,Susan
13003,Fredericton,Conservative,Ashfield,Keith
13003,Fredericton,Green,Comeau,Louise Anna-Marie
13003,Fredericton,Liberal,McKeen,Randy
13003,Fredericton,Independent,Ness,Adam Scott
13003,Fredericton,NDP,Travis,Jesse
13004,Fundy Royal,Green,Coburn,Stephanie
13004,Fundy Royal,Conservative,Moore,Rob
13004,Fundy Royal,NDP,Pitre,Darryl
13004,Fundy Royal,Liberal,Wilhelm,Linda
13005,Madawaska--Restigouche,Independent,Bérubé,Louis
13005,Madawaska--Restigouche,Liberal,D'Amours,Jean-Claude JC
13005,Madawaska--Restigouche,NDP,Jules,Widler
13005,Madawaska--Restigouche,Green,Morrison,Lynn
13005,Madawaska--Restigouche,Conservative,Valcourt,Bernard
13006,Miramichi,NDP,Colford,Patrick
13006,Miramichi,Green,Mazerolle,Ronald
13006,Miramichi,Conservative,O'Neill Gordon,Tilly
13006,Miramichi,Liberal,Vickers,Keith
13007,Moncton--Riverview--Dieppe,NDP,Gagné,Shawna
13007,Moncton--Riverview--Dieppe,Conservative,Goguen,Robert
13007,Moncton--Riverview--Dieppe,Liberal,Murphy,Brian
13007,Moncton--Riverview--Dieppe,Green,Steeves,Steven
13008,New Brunswick Southwest,Christian Heritage,Farris,Jason
13008,New Brunswick Southwest,NDP,Graham,Andrew
13008,New Brunswick Southwest,Green,Harvey,Janice
13008,New Brunswick Southwest,Conservative,Williamson,John
13008,New Brunswick Southwest,Liberal,Wilson,Kelly
13009,Saint John,Liberal,Chase,Stephen
13009,Saint John,NDP,Moir,Rob
13009,Saint John,Green,Murphy-Flatt,Sharon
13009,Saint John,Independent,Watson,Arthur Jr.
13009,Saint John,Conservative,Weston,Rodney
13010,Tobique--Mactaquac,Conservative,Allen,Mike
13010,Tobique--Mactaquac,Liberal,Chiasson,Chuck
13010,Tobique--Mactaquac,NDP,Cyr,Pierre
13010,Tobique--Mactaquac,Green,McGlynn,Rish
24001,Abitibi--Témiscamingue,Liberal,Grenon,Suzie
24001,Abitibi--Témiscamingue,Conservative,Hébert,Steven
24001,Abitibi--Témiscamingue,Bloc,Lemay,Marc
24001,Abitibi--Témiscamingue,NDP,Moore,Christine
24001,Abitibi--Témiscamingue,Green,Rochon,Patrick
24002,Ahuntsic,Rhinoceros,Berthiaume,Jean-Olivier
24002,Ahuntsic,Liberal,Eloyan,Noushig
24002,Ahuntsic,Conservative,Kiryakidis,Constantin
24002,Ahuntsic,Green,Kouretas,Ted
24002,Ahuntsic,Bloc,Mourani,Maria
24002,Ahuntsic,NDP,Reeves,Chantal
24003,Alfred-Pellan,Bloc,Carrier,Robert
24003,Alfred-Pellan,NDP,Doré Lefebvre,Rosane
24003,Alfred-Pellan,Liberal,Iacono,Angelo G.
24003,Alfred-Pellan,Conservative,Lefebvre,Pierre
24003,Alfred-Pellan,Independent,Millette,Régent
24003,Alfred-Pellan,Green,Perceval-Maxwell,Dylan
24004,Argenteuil--Papineau--Mirabel,Marxist-Leninist,Ferlatte,Christian-Simon
24004,Argenteuil--Papineau--Mirabel,Liberal,Fox,Daniel
24004,Argenteuil--Papineau--Mirabel,NDP,Freeman,Mylène
24004,Argenteuil--Papineau--Mirabel,Independent,Guibord,Michel Daniel
24004,Argenteuil--Papineau--Mirabel,Bloc,Laframboise,Mario
24004,Argenteuil--Papineau--Mirabel,Green,Matthews,Stephen
24004,Argenteuil--Papineau--Mirabel,Conservative,Patry,Yvan
24005,Beauce,NDP,Bergeron,Serge
24005,Beauce,Conservative,Bernier,Maxime
24005,Beauce,Green,Doyon Lessard,Etienne
24005,Beauce,Liberal,Morin,Claude
24005,Beauce,Bloc,Morin,Sylvio
24006,Beauharnois--Salaberry,Conservative,Couturier,David
24006,Beauharnois--Salaberry,Bloc,DeBellefeuille,Claude
24006,Beauharnois--Salaberry,Liberal,Deslandres,François
24006,Beauharnois--Salaberry,Green,Pelletier,Rémi
24006,Beauharnois--Salaberry,NDP,Quach,Anne Minh-Thu
24007,Beauport--Limoilou,Conservative,Boucher,Sylvie
24007,Beauport--Limoilou,Liberal,Chartier,Lorraine
24007,Beauport--Limoilou,NDP,Côté,Raymond
24007,Beauport--Limoilou,Green,Courville,Louise
24007,Beauport--Limoilou,Christian Heritage,Genest,Anne-Marie
24007,Beauport--Limoilou,Bloc,Létourneau,Michel
24007,Beauport--Limoilou,Marxist-Leninist,Moreau,Claude
24008,Berthier--Maskinongé,Bloc,André,Guy
24008,Berthier--Maskinongé,NDP,Brosseau,Ruth Ellen
24008,Berthier--Maskinongé,Liberal,Gaudet,Francine
24008,Berthier--Maskinongé,Conservative,Godue,Marie-Claude
24008,Berthier--Maskinongé,Rhinoceros,Jubinville,Martin
24008,Berthier--Maskinongé,Green,Matteau,Léonie
24009,Bourassa,Conservative,Azoulay,David
24009,Bourassa,Green,Centazzo,Tiziana
24009,Bourassa,Liberal,Coderre,Denis
24009,Bourassa,NDP,Demers,Julie
24009,Bourassa,Bloc,Mailhot,Daniel
24009,Bourassa,Marxist-Leninist,Royer,Geneviève
24010,Brome--Missisquoi,Bloc,Bogosta,Christelle
24010,Brome--Missisquoi,NDP,Jacob,Pierre
24010,Brome--Missisquoi,Green,Lambert,Benoit
24010,Brome--Missisquoi,Conservative,LeBlanc-Bauerle,Nolan
24010,Brome--Missisquoi,Liberal,Paradis,Denis
24011,Brossard--La Prairie,Conservative,Brossard,Maurice
24011,Brossard--La Prairie,Marxist-Leninist,Chouinard,Normand
24011,Brossard--La Prairie,Bloc,Lussier,Marcel
24011,Brossard--La Prairie,NDP,Mai,Hoang
24011,Brossard--La Prairie,Liberal,Mendès,Alexandra
24011,Brossard--La Prairie,Green,Murphy,Kevin
24012,Chambly--Borduas,Liberal,DeLorme,Bernard
24012,Chambly--Borduas,NDP,Dubé,Matthew
24012,Chambly--Borduas,Conservative,Ferland Drolet,Nathalie
24012,Chambly--Borduas,Green,Lescarbeau,Nicholas
24012,Chambly--Borduas,Bloc,Lessard,Yves
24012,Chambly--Borduas,Independent,Mercier,Jean-François
24013,Charlesbourg--Haute-Saint-Charles,Christian Heritage,Cormier,Simon
24013,Charlesbourg--Haute-Saint-Charles,NDP,Day,Anne-Marie
24013,Charlesbourg--Haute-Saint-Charles,Liberal,Gaudreault,Martine
24013,Charlesbourg--Haute-Saint-Charles,Bloc,Grenier,Félix
24013,Charlesbourg--Haute-Saint-Charles,Conservative,Petit,Daniel
24013,Charlesbourg--Haute-Saint-Charles,Green,Verret,Simon
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Green,Bédard,François
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Conservative,Castonguay,Michel-Eric
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Liberal,Gauthier,Robert
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Bloc,Guimond,Michel
24014,Montmorency--Charlevoix--Haute-Côte-Nord,NDP,Tremblay,Jonathan
24015,Châteauguay--Saint-Constant,NDP,Chicoine,Sylvain
24015,Châteauguay--Saint-Constant,Bloc,Freeman,Carole
24015,Châteauguay--Saint-Constant,Green,Kwan,Clara
24015,Châteauguay--Saint-Constant,Liberal,Schwey,Linda
24015,Châteauguay--Saint-Constant,Marxist-Leninist,Sullivan,Linda
24015,Châteauguay--Saint-Constant,Conservative,Turcôt,André
24016,Chicoutimi--Le Fjord,Green,Bolduc-Tremblay,Charles-Olivier
24016,Chicoutimi--Le Fjord,Bloc,Bouchard,Robert
24016,Chicoutimi--Le Fjord,Rhinoceros,Couture,Marielle
24016,Chicoutimi--Le Fjord,NDP,Morin,Dany
24016,Chicoutimi--Le Fjord,Conservative,Néron,Carol
24016,Chicoutimi--Le Fjord,Liberal,Pettersen,Marc
24017,Compton--Stanstead,Bloc,Bonsant,France
24017,Compton--Stanstead,Green,Caldwell,Gary
24017,Compton--Stanstead,Conservative,Gressard Bélanger,Sandrine
24017,Compton--Stanstead,Liberal,Hogg,William
24017,Compton--Stanstead,NDP,Rousseau,Jean
24018,Drummond,Conservative,Bernier,Normand W.
24018,Drummond,NDP,Choquette,François
24018,Drummond,Liberal,Côté,Pierre
24018,Drummond,Green,Fortin,Robin
24018,Drummond,Bloc,Pomerleau,Roger
24019,Gaspésie--Îles-de-la-Madeleine,Conservative,Bastien,Régent
24019,Gaspésie--Îles-de-la-Madeleine,Bloc,Côté,Daniel
24019,Gaspésie--Îles-de-la-Madeleine,Liberal,Duguay,Jules
24019,Gaspésie--Îles-de-la-Madeleine,Green,Leblanc,Julien
24019,Gaspésie--Îles-de-la-Madeleine,NDP,Toone,Philip
24020,Gatineau,NDP,Boivin,Françoise
24020,Gatineau,Conservative,Gearey,Jennifer
24020,Gatineau,Liberal,MacKinnon,Steve
24020,Gatineau,Green,Meijer,Jonathan
24020,Gatineau,Bloc,Nadeau,Richard
24021,Hochelaga,NDP,Boutin-Sweet,Marjolaine
24021,Hochelaga,Communist,Breton Fontaine,Marianne
24021,Hochelaga,Conservative,Castonguay,Audrey
24021,Hochelaga,Marxist-Leninist,Dandenault,Christine
24021,Hochelaga,Green,Delgado Dihigo,Yaneisy
24021,Hochelaga,Bloc,Paillé,Daniel
24021,Hochelaga,Rhinoceros,Samson Veillette,Hugo
24021,Hochelaga,Liberal,Thibodeau,Gilbert
24022,Honoré-Mercier,NDP,Ayala,Paulina
24022,Honoré-Mercier,Marxist-Leninist,Bédard,Jean-Paul
24022,Honoré-Mercier,Green,Bérard,Gaëtan
24022,Honoré-Mercier,Rhinoceros,Chevrefils-Latulippe,Valery
24022,Honoré-Mercier,Conservative,Labelle,Gérard
24022,Honoré-Mercier,Bloc,Laroche,Martin
24022,Honoré-Mercier,Liberal,Rodriguez,Pablo
24023,Hull--Aylmer,Conservative,Brassard-Fortin,Nancy
24023,Hull--Aylmer,Green,Fleury,Roger
24023,Hull--Aylmer,Bloc,Lemay,Dino
24023,Hull--Aylmer,Liberal,Proulx,Marcel
24023,Hull--Aylmer,NDP,Turmel,Nycole
24024,Jeanne-Le Ber,NDP,Benskin,Tyrone
24024,Jeanne-Le Ber,Liberal,Bruneau,Mark
24024,Jeanne-Le Ber,Conservative,Lafontaine,Pierre
24024,Jeanne-Le Ber,Green,Noël,Richard
24024,Jeanne-Le Ber,Bloc,St-Cyr,Thierry
24024,Jeanne-Le Ber,Marxist-Leninist,Studd,Eileen
24025,Joliette,Liberal,Boucher,François
24025,Joliette,Green,Durette,Annie
24025,Joliette,Conservative,Morand,Michel
24025,Joliette,Bloc,Paquette,Pierre A.
24025,Joliette,NDP,Raynault,Francine
24026,Jonquière--Alma,Green,Bergeron,France
24026,Jonquière--Alma,Conservative,Blackburn,Jean-Pierre
24026,Jonquière--Alma,Bloc,Forest,Pierre
24026,Jonquière--Alma,NDP,Patry,Claude
24026,Jonquière--Alma,Liberal,Ringuette,Claude
24027,Lac-Saint-Louis,NDP,Ackad,Alain
24027,Lac-Saint-Louis,Liberal,Scarpaleggia,Francis
24027,Lac-Saint-Louis,Conservative,Smith,Larry
24027,Lac-Saint-Louis,Bloc,Taillefer,Éric
24027,Lac-Saint-Louis,Green,Tremblay,Bruno
24028,La Pointe-de-l'Île,Bloc,Beaudry,Ginette
24028,La Pointe-de-l'Île,Marxist-Leninist,Brunelle,Claude
24028,La Pointe-de-l'Île,Green,Cox,David J.
24028,La Pointe-de-l'Île,Conservative,Drolet,Mathieu
24028,La Pointe-de-l'Île,Liberal,L. Coulombe,Olivier
24028,La Pointe-de-l'Île,NDP,Péclet,Ève
24029,LaSalle--Émard,Green,Banville,Lorraine
24029,LaSalle--Émard,Rhinoceros,Berger-Richard,Guillaume
24029,LaSalle--Émard,Bloc,Dubois,Carl
24029,LaSalle--Émard,NDP,LeBlanc,Hélène
24029,LaSalle--Émard,Marxist-Leninist,Le Seigle,Yves
24029,LaSalle--Émard,Conservative,Yu,Chang-Tao Jimmy
24029,LaSalle--Émard,Liberal,Zarac,Lise
24030,Laurentides--Labelle,Green,Beauchamp,François
24030,Laurentides--Labelle,Bloc,Deschamps,Johanne
24030,Laurentides--Labelle,Conservative,Joncas,Guy
24030,Laurentides--Labelle,Liberal,Lacoste,Jean-Marc
24030,Laurentides--Labelle,NDP,Morin,Marc-André
24030,Laurentides--Labelle,Marxist-Leninist,St-Louis,Mikaël
24031,Laurier--Sainte-Marie,Green,Adam,Olivier
24031,Laurier--Sainte-Marie,Liberal,Allard,Philippe
24031,Laurier--Sainte-Marie,Communist,Archambault,Sylvain
24031,Laurier--Sainte-Marie,Bloc,Duceppe,Gilles
24031,Laurier--Sainte-Marie,Rhinoceros,Gourd,François Yo
24031,Laurier--Sainte-Marie,Marxist-Leninist,Lachapelle,Serge
24031,Laurier--Sainte-Marie,Conservative,Langford,Charles K.
24031,Laurier--Sainte-Marie,NDP,Laverdière,Hélène
24031,Laurier--Sainte-Marie,Independent,Mourkes,Dimitri
24032,Laval,Marxist-Leninist,Breton,Yvon
24032,Laval,Bloc,Demers,Nicole
24032,Laval,Green,Leduc,Jocelyne
24032,Laval,Conservative,Malo,Robert
24032,Laval,Liberal,Nassif,Eva
24032,Laval,NDP,Nunez-Melo,José
24033,Laval--Les Îles,Pirate,Bakhos,Stéphane
24033,Laval--Les Îles,Conservative,Ghavitian,Zaki
24033,Laval--Les Îles,Bloc,Jetha,Mohamedali
24033,Laval--Les Îles,Liberal,Joizil,Karine
24033,Laval--Les Îles,Green,Neil,Brent
24033,Laval--Les Îles,NDP,Pilon,François
24033,Laval--Les Îles,Marxist-Leninist,Tsakanikas,Polyvios
24034,Lévis--Bellechasse,Conservative,Blaney,Steven
24034,Lévis--Bellechasse,Green,Dougé,Sacha
24034,Lévis--Bellechasse,Bloc,Gosselin,Danielle-Maude
24034,Lévis--Bellechasse,Liberal,Laforesterie,Francis
24034,Lévis--Bellechasse,NDP,Laliberté,Nicole
24035,Longueuil--Pierre-Boucher,Conservative,Bélisle,Richard
24035,Longueuil--Pierre-Boucher,Bloc,Dorion,Jean
24035,Longueuil--Pierre-Boucher,Liberal,Falsafi,Kévan
24035,Longueuil--Pierre-Boucher,NDP,Nantel,Pierre
24035,Longueuil--Pierre-Boucher,Marxist-Leninist,Patenaude,Serge
24035,Longueuil--Pierre-Boucher,Green,St-Amant,Valérie
24036,Lotbinière--Chutes-de-la-Chaudière,Green,Domm,Richard
24036,Lotbinière--Chutes-de-la-Chaudière,NDP,Fredette,Tanya
24036,Lotbinière--Chutes-de-la-Chaudière,Bloc,Gourde,Gaston
24036,Lotbinière--Chutes-de-la-Chaudière,Conservative,Gourde,Jacques
24036,Lotbinière--Chutes-de-la-Chaudière,Liberal,Larouche,Nicole
24037,Louis-Hébert,Liberal,Beaupré,Jean
24037,Louis-Hébert,NDP,Blanchette,Denis
24037,Louis-Hébert,Christian Heritage,Bouffard,Marie-Claude
24037,Louis-Hébert,Green,Fontaine,Michelle
24037,Louis-Hébert,Bloc,Paillé,Pascal-Pierre
24037,Louis-Hébert,Conservative,Paul-Hus,Pierre
24038,Louis-Saint-Laurent,Christian Heritage,Arseneault,Daniel
24038,Louis-Saint-Laurent,Green,Cloutier,Jean
24038,Louis-Saint-Laurent,Bloc,Gagné,France
24038,Louis-Saint-Laurent,NDP,Latendresse,Alexandrine
24038,Louis-Saint-Laurent,Liberal,Mérel,Philippe
24038,Louis-Saint-Laurent,Conservative,Verner,Josée
24039,Manicouagan,Bloc,Asselin,Gérard
24039,Manicouagan,Conservative,Ferguson,Gordon
24039,Manicouagan,Liberal,Forbes,André
24039,Manicouagan,Green,Gélineau,Jacques
24039,Manicouagan,NDP,Genest-Jourdain,Jonathan
24040,Marc-Aurèle-Fortin,Liberal,Agurto Catalán,Eduardo Gonzalo
24040,Marc-Aurèle-Fortin,Bloc,Charbonneau,Marie-France
24040,Marc-Aurèle-Fortin,NDP,Giguère,Alain
24040,Marc-Aurèle-Fortin,Green,Sicotte,Charles
24040,Marc-Aurèle-Fortin,Conservative,Théorêt,Johanne
24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,NDP,Boulet,Joanie
24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,Liberal,Charest,Nancy
24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,Conservative,Cormier,Allen
24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,Green,Drainville,Louis
24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,Bloc,Fortin,Jean-François
24042,Mégantic--L'Érable,Canadian Action,Bergeron,Alain
24042,Mégantic--L'Érable,Conservative,Paradis,Christian
24042,Mégantic--L'Érable,Liberal,Roy,René
24042,Mégantic--L'Érable,Green,Tessari,Wyatt
24042,Mégantic--L'Érable,Bloc,Turcotte,Pierre
24042,Mégantic--L'Érable,NDP,Voisine,Cheryl
24043,Montcalm,Liberal,Dufour,Yves
24043,Montcalm,Conservative,Fuoco,Jason
24043,Montcalm,Bloc,Gaudet,Roger
24043,Montcalm,Green,Girard,Marianne
24043,Montcalm,NDP,Perreault,Manon
24044,Mount Royal,Liberal,Cotler,Irwin
24044,Mount Royal,Bloc,Dumais,Gabriel
24044,Mount Royal,NDP,Itcush,Jeff
24044,Mount Royal,Marxist-Leninist,Johnston,Diane
24044,Mount Royal,Green,Sarwer-Foner,Brian
24044,Mount Royal,No Affiliation,Weizfeld,abraham
24044,Mount Royal,Conservative,Zajdel,Saulie
24045,Notre-Dame-de-Grâce--Lachine,Conservative,Conway,Matthew
24045,Notre-Dame-de-Grâce--Lachine,Green,Gal,Jessica
24045,Notre-Dame-de-Grâce--Lachine,Marxist-Leninist,Hoffman,Rachel
24045,Notre-Dame-de-Grâce--Lachine,Liberal,Jennings,Marlene
24045,Notre-Dame-de-Grâce--Lachine,Bloc,Ladouceur-Despins,Gabrielle
24045,Notre-Dame-de-Grâce--Lachine,Independent,Lovett,David Andrew
24045,Notre-Dame-de-Grâce--Lachine,NDP,Morin,Isabelle
24046,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,Gervais,Léandre
24046,Abitibi--Baie-James--Nunavik--Eeyou,Green,Kasudluak,Johnny
24046,Abitibi--Baie-James--Nunavik--Eeyou,Bloc,Lévesque,Yvon
24046,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,Matte,Jean-Maurice
24046,Abitibi--Baie-James--Nunavik--Eeyou,NDP,Saganash,Romeo
24047,Outremont,Communist,Boyden,Johan
24047,Outremont,Liberal,Cauchon,Martin
24047,Outremont,Bloc,Daoust,Élise
24047,Outremont,Rhinoceros,Gaudet,Tommy
24047,Outremont,Conservative,Husny,Rodolphe
24047,Outremont,NDP,Mulcair,Thomas
24047,Outremont,Green,Pilon,Francois
24048,Papineau,Bloc,Barbot,Vivian
24048,Papineau,Conservative,Chopra,Shama
24048,Papineau,Marxist-Leninist,Macrisopoulos,Peter
24048,Papineau,Green,Polifroni,Danny
24048,Papineau,NDP,Tejada,Marcos Radhames
24048,Papineau,Liberal,Trudeau,Justin
24048,Papineau,No Affiliation,Young,Joseph
24049,Pierrefonds--Dollard,NDP,Blanchette-Lamothe,Lysane
24049,Pierrefonds--Dollard,Conservative,Evereklian,Agop
24049,Pierrefonds--Dollard,Bloc,Jolicoeur,Nicolas
24049,Pierrefonds--Dollard,Green,Lumer,Jonathan
24049,Pierrefonds--Dollard,Liberal,Patry,Bernard
24050,Pontiac,Conservative,Cannon,Lawrence
24050,Pontiac,Liberal,Duncan McMillan,Cindy
24050,Pontiac,Marxist-Leninist,Legros,Benoit
24050,Pontiac,Green,Mayrand,Louis-Philippe
24050,Pontiac,NDP,Ravignat,Mathieu
24050,Pontiac,Bloc,Tremblay,Maude
24051,Portneuf--Jacques-Cartier,Independent,Arthur,André
24051,Portneuf--Jacques-Cartier,Bloc,Côté,Richard
24051,Portneuf--Jacques-Cartier,Green,Delorme,Claudine
24051,Portneuf--Jacques-Cartier,NDP,Michaud,Élaine
24051,Portneuf--Jacques-Cartier,Liberal,Thériault,Réjean
24052,Québec,Green,Dutil,Yvan
24052,Québec,Bloc,Gagnon,Christiane
24052,Québec,Christian Heritage,Jetchick,Stefan
24052,Québec,Conservative,Morasse,Pierre
24052,Québec,NDP,Papillon,Annick
24052,Québec,Liberal,Payeur,François
24053,Repentigny,Green,Duchaine,Michel
24053,Repentigny,Bloc,Dufour,Nicolas
24053,Repentigny,NDP,Larose,Jean-François
24053,Repentigny,Liberal,Perreault,Chantal
24053,Repentigny,Conservative,Royer,Christophe
24054,Bas-Richelieu--Nicolet--Bécancour,Liberal,Blais,Rhéal
24054,Bas-Richelieu--Nicolet--Bécancour,Conservative,Cartier,Charles
24054,Bas-Richelieu--Nicolet--Bécancour,NDP,Lalonde,Krista
24054,Bas-Richelieu--Nicolet--Bécancour,Bloc,Plamondon,Louis
24054,Bas-Richelieu--Nicolet--Bécancour,Green,Tanguay,Anne-Marie
24055,Richmond--Arthabaska,Conservative,Bachand,Jean-Philippe
24055,Richmond--Arthabaska,Bloc,Bellavance,André
24055,Richmond--Arthabaska,Green,Bombardier,Tomy
24055,Richmond--Arthabaska,NDP,Maguire,Isabelle
24055,Richmond--Arthabaska,Liberal,Talbot,Marie-Josée
24056,Rimouski-Neigette--Témiscouata--Les Basques,Liberal,Cadieux,Pierre
24056,Rimouski-Neigette--Témiscouata--Les Basques,NDP,Caron,Guy
24056,Rimouski-Neigette--Témiscouata--Les Basques,Conservative,Denis,Bertin
24056,Rimouski-Neigette--Témiscouata--Les Basques,Bloc,Guimond,Claude
24056,Rimouski-Neigette--Témiscouata--Les Basques,Green,Pelletier,Clément
24057,Rivière-des-Mille-Îles,Green,Bisson,Gilles
24057,Rivière-des-Mille-Îles,Bloc,Desnoyers,Luc
24057,Rivière-des-Mille-Îles,Liberal,Joannette,Denis
24057,Rivière-des-Mille-Îles,Conservative,Leblanc,Lucie
24057,Rivière-des-Mille-Îles,NDP,Liu,Laurin
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Bloc,Arsenault,Nathalie
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Liberal,Caddell,Andrew
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Conservative,Généreux,Bernard
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,NDP,Lapointe,François
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Green,Tremblay,Lynette
