district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,Campbell,Robert A.,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,Mancini,Peter,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,Perry,Elizabeth,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Savage,Michael,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Marxist-Leninist,Spurr,Charles,
12004,Halifax,Halifax,Conservative,House,Andrew,
12004,Halifax,Halifax,Liberal,MacKinnon,Martin,
12004,Halifax,Halifax,NDP,McDonough,Alexa,
12004,Halifax,Halifax,Marxist-Leninist,Seed,Tony,
12004,Halifax,Halifax,Green,Wright,Nick,
12005,Halifax West,Halifax-Ouest,NDP,Hill,Alan,
12005,Halifax West,Halifax-Ouest,Conservative,Khosla,Rakesh,
12005,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff,
12005,Halifax West,Halifax-Ouest,Green,Trappenberg,Thomas,
12006,Kings--Hants,Kings--Hants,Marijuana Party,Anthony,Chummy,
12006,Kings--Hants,Kings--Hants,Liberal,Brison,Scott,
12006,Kings--Hants,Kings--Hants,NDP,DeWolfe,Mary,
12006,Kings--Hants,Kings--Hants,Conservative,Mullan,Bob,
12006,Kings--Hants,Kings--Hants,Green,Richardson,Sheila,
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Conservative,Casey,Bill,
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Green,Farrell,N. Bruce,
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Liberal,Richard,Gary,
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,NDP,Sagar,Margaret,
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Independent,Simpson,Rick,
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Liberal,Fleming,Bill,
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Conservative,Francis,Paul,
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Green,MacDonald,Richard,
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,NDP,Stoffer,Peter,
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,NDP,Earle,Gordon S.,
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Christian Heritage,Hnatiuk,Jim,
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Liberal,Huskilson,Darian Malcom,
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Conservative,Keddy,Gerald Gordon,
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Green,Morris Boudreau,Katie,
12010,Sydney--Victoria,Sydney--Victoria,NDP,Edwards,John Hugh,
12010,Sydney--Victoria,Sydney--Victoria,Liberal,Eyking,Mark,
12010,Sydney--Victoria,Sydney--Victoria,Conservative,MacDonald,Howie,
12010,Sydney--Victoria,Sydney--Victoria,Green,Milburn,Chris,
12011,West Nova,Nova-Ouest,NDP,Bull,Arthur,
12011,West Nova,Nova-Ouest,Green,Granger,Matthew,
12011,West Nova,Nova-Ouest,Independent,Griffiths,Ken,
12011,West Nova,Nova-Ouest,Conservative,Kerr,Greg,
12011,West Nova,Nova-Ouest,Liberal,Thibault,Robert,
13001,Acadie--Bathurst,Acadie--Bathurst,Independent,DeGrâce,Ulric,
13001,Acadie--Bathurst,Acadie--Bathurst,NDP,Godin,Yvon,
13001,Acadie--Bathurst,Acadie--Bathurst,Independent,Landry,Eric,
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal,Mersereau,Marcelle,
13001,Acadie--Bathurst,Acadie--Bathurst,Green,Rousselle,Philippe,
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative,Savoie,Serge,
13002,Beauséjour,Beauséjour,Independent,Comeau,J. Frank,
13002,Beauséjour,Beauséjour,NDP,Gardner,Neil,
13002,Beauséjour,Beauséjour,Green,Girouard,Anna,
13002,Beauséjour,Beauséjour,Liberal,LeBlanc,Dominic,
13002,Beauséjour,Beauséjour,Conservative,Leger,Omer,
13003,Fredericton,Fredericton,Independent,Amos,David Raymond,
13003,Fredericton,Fredericton,NDP,Carty,John,
13003,Fredericton,Fredericton,Green,Duchastel,Philip,
13003,Fredericton,Fredericton,Conservative,Lynch,Pat,
13003,Fredericton,Fredericton,Liberal,Scott,Andy,
13004,Fundy Royal,Fundy Royal,Green,Donovan,Patty,
13004,Fundy Royal,Fundy Royal,Liberal,Hunter,Eldon,
13004,Fundy Royal,Fundy Royal,NDP,Moir,Rob,
13004,Fundy Royal,Fundy Royal,Conservative,Moore,Rob,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal,D'Amours,Jean-Claude J. C.,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green,Laplante,Irka,
13005,Madawaska--Restigouche,Madawaska--Restigouche,NDP,Martin,Rodolphe,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative,Ouellet,Jean-Pierre,
13006,Miramichi,Miramichi,Green,Bethell,John Welsford,
13006,Miramichi,Miramichi,Independent,Gay,Danny,
13006,Miramichi,Miramichi,Liberal,Hubbard,Charles Isaac,
13006,Miramichi,Miramichi,NDP,Manuel-Allain,Jeannette,
13006,Miramichi,Miramichi,Conservative,Morrison,Mike,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative,Doucet,Charles,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,NDP,Hackett,David,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green,Labchuk,Camille,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal,Murphy,Brian,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Canadian Action Party,Pomerleau,Ron,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,NDP,Graham,Andrew,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green,Millett,Erik,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal,Smith,Stan,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative,Thompson,Greg,
13009,Saint John,Saint John,NDP,Albright,Terry,
13009,Saint John,Saint John,Green,Garnett,Vern M.,
13009,Saint John,Saint John,Conservative,Wallace,John,
13009,Saint John,Saint John,Liberal,Zed,Paul,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative,Allen,Mike,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green,Bérubé Jr.,Robert,
13010,Tobique--Mactaquac,Tobique--Mactaquac,NDP,Finnamore,Alice,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal,Savoy,Andy,
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative,Carbonneau,Marie-Josée,
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal,Lavergne,Charles,
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc,Lemay,Marc,
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,NDP,Moore,Christine,
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green,Rancourt,Patrick,
24002,Ahuntsic,Ahuntsic,Liberal,Bakopanos,Eleni,
24002,Ahuntsic,Ahuntsic,NDP,Desrosiers,Caroline,
24002,Ahuntsic,Ahuntsic,Conservative,Morin,Étienne,
24002,Ahuntsic,Ahuntsic,Bloc,Mourani,Maria,
24002,Ahuntsic,Ahuntsic,Green,Tremblay,Lynette,
24003,Alfred-Pellan,Alfred-Pellan,Bloc,Carrier,Robert,
24003,Alfred-Pellan,Alfred-Pellan,Liberal,Gobé,Jean-Claude,
24003,Alfred-Pellan,Alfred-Pellan,Green,Lajoie,Christian,
24003,Alfred-Pellan,Alfred-Pellan,NDP,Leduc,Martin,
24003,Alfred-Pellan,Alfred-Pellan,Conservative,Raymond,Rosane,
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Conservative,Courville,Suzanne,
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Bloc,Laframboise,Mario,
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Liberal,Liberge,François-Hugues,
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Green,Sabourin,Claude,
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,NDP,Senécal,Alain,
24005,Beauce,Beauce,Conservative,Bernier,Maxime,
24005,Beauce,Beauce,NDP,Chartier,Cléo,
24005,Beauce,Beauce,Liberal,Lussier,Jacques,
24005,Beauce,Beauce,Bloc,Moore,Patrice,
24005,Beauce,Beauce,Green,Roy,Jean-Claude,
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Conservative,Couturier,David,
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Bloc,DeBellefeuille,Claude,
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Liberal,Khawand,John,
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,NDP,Roy,Cynthia,
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Green,Smith,David,
24007,Beauport--Limoilou,Beauport--Limoilou,NDP,Beaudet,Simon-Pierre,
24007,Beauport--Limoilou,Beauport--Limoilou,Marxist-Leninist,Bédard,Jean,
24007,Beauport--Limoilou,Beauport--Limoilou,Conservative,Boucher,Sylvie,
24007,Beauport--Limoilou,Beauport--Limoilou,Green,Laprise,Mario,
24007,Beauport--Limoilou,Beauport--Limoilou,Liberal,Picard,Yves,
24007,Beauport--Limoilou,Beauport--Limoilou,Bloc,Simard,Christian,
24008,Berthier--Maskinongé,Berthier--Maskinongé,Bloc,André,Guy,
24008,Berthier--Maskinongé,Berthier--Maskinongé,NDP,Aubert,Anne-Marie,
24008,Berthier--Maskinongé,Berthier--Maskinongé,Conservative,Godue,Marie-Claude,
24008,Berthier--Maskinongé,Berthier--Maskinongé,Green,Gratton,Nathalie,
24008,Berthier--Maskinongé,Berthier--Maskinongé,Liberal,Lafrenière,Serge,
24009,Bourassa,Bourassa,Green,Boucher,François,
24009,Bourassa,Bourassa,Liberal,Coderre,Denis,
24009,Bourassa,Bourassa,Conservative,Martelli,Liberato,
24009,Bourassa,Bourassa,Bloc,Niziblian,Apraham,
24009,Bourassa,Bourassa,Marxist-Leninist,Royer,Geneviève,
24009,Bourassa,Bourassa,NDP,Saykaly,Stefano,
24010,Brome--Missisquoi,Brome--Missisquoi,Green,Champagne,Michel,
24010,Brome--Missisquoi,Brome--Missisquoi,Progressive Canadian Party,Grafftey,Heward,
24010,Brome--Missisquoi,Brome--Missisquoi,NDP,Jetté,Josianne,
24010,Brome--Missisquoi,Brome--Missisquoi,Conservative,Marler,David,
24010,Brome--Missisquoi,Brome--Missisquoi,Bloc,Ouellet,Christian,
24010,Brome--Missisquoi,Brome--Missisquoi,Liberal,Paradis,Denis,
24011,Brossard--La Prairie,Brossard--La Prairie,Marxist-Leninist,Chouinard,Normand,
24011,Brossard--La Prairie,Brossard--La Prairie,Green,Desgroseilliers,François,
24011,Brossard--La Prairie,Brossard--La Prairie,Conservative,Khangsar,Tenzin D.,
24011,Brossard--La Prairie,Brossard--La Prairie,Bloc,Lussier,Marcel,
24011,Brossard--La Prairie,Brossard--La Prairie,NDP,Nicolas,Robert,
24011,Brossard--La Prairie,Brossard--La Prairie,Liberal,Saada,Jacques,
24012,Chambly--Borduas,Chambly--Borduas,Green,Adam,Olivier,
24012,Chambly--Borduas,Chambly--Borduas,Liberal,Bouchard,Chantal,
24012,Chambly--Borduas,Chambly--Borduas,Conservative,Bourassa,Yves,
24012,Chambly--Borduas,Chambly--Borduas,NDP,Dubois,Alain,
24012,Chambly--Borduas,Chambly--Borduas,Bloc,Lessard,Yves,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Liberal,Giguère,Valérie,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Bloc,Marceau,Richard,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,NDP,Martineau,Isabelle,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Green,Parsons,Les,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Independent,Pelletier,Daniel,
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Conservative,Petit,Daniel,
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,NDP,Cauchon,Martin,
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Liberal,Gauthier,Robert,
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Bloc,Guimond,Michel,
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Green,Jourdain,Yves,
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Conservative,Laberge,Yves,
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Bloc,Freeman,Carole,
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Liberal,Ghorayeb,Charles,
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,NDP,Mohammadian,Ehsan,
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Green,Rioux,Alain,
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Conservative,Turcot,Rosaire,
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc,Bouchard,Robert,
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative,Boudreault,Alcide,
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,NDP,Dubois,Éric,
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green,Gauthier,Jean-Martin,
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal,Harvey,André,
24017,Compton--Stanstead,Compton--Stanstead,Bloc,Bonsant,France,
24017,Compton--Stanstead,Compton--Stanstead,NDP,Bürgi,Stéphane,
24017,Compton--Stanstead,Compton--Stanstead,Conservative,Caldwell,Gary,
24017,Compton--Stanstead,Compton--Stanstead,Green,Perreault,Gaétan,
24017,Compton--Stanstead,Compton--Stanstead,Liberal,Price,David,
24018,Drummond,Drummond,Liberal,Cardinal,Éric,
24018,Drummond,Drummond,NDP,Choquette,François,
24018,Drummond,Drummond,Green,Milot,Jean-Benjamin,
24018,Drummond,Drummond,Bloc,Picard,Pauline,
24018,Drummond,Drummond,Conservative,Pineault,Jean-Marie,
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Bloc,Blais,Raynald,
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,NDP,Dauphinais,Sylvie,
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Green,Eichenberger,Bob,
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Conservative,Langlais,Gaston,
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Liberal,Lévesque,Mario,
24020,Gatineau,Gatineau,Liberal,Boivin,Françoise,
24020,Gatineau,Gatineau,NDP,Levesque,Anne,
24020,Gatineau,Gatineau,Bloc,Nadeau,Richard,
24020,Gatineau,Gatineau,Conservative,Robert,Patrick,
24020,Gatineau,Gatineau,Green,Walker,Gail,
24021,Hochelaga,Hochelaga,Green,Bramann,Rolf,
24021,Hochelaga,Hochelaga,Conservative,Castonguay,Audrey,
24021,Hochelaga,Hochelaga,Marxist-Leninist,Dandenault,Christine,
24021,Hochelaga,Hochelaga,NDP,Gagnon,David-Roger,
24021,Hochelaga,Hochelaga,Liberal,Harvey,Vicky,
24021,Hochelaga,Hochelaga,Marijuana Party,Longley,Blair T.,
24021,Hochelaga,Hochelaga,Bloc,Ménard,Réal,
24022,Honoré-Mercier,Honoré-Mercier,Green,Castonguay,Sylvain,
24022,Honoré-Mercier,Honoré-Mercier,Marxist-Leninist,Héroux,Hélène,
24022,Honoré-Mercier,Honoré-Mercier,Bloc,Labelle,Gérard,
24022,Honoré-Mercier,Honoré-Mercier,Conservative,Marino,Angelo M.,
24022,Honoré-Mercier,Honoré-Mercier,NDP,Pilon,François,
24022,Honoré-Mercier,Honoré-Mercier,Liberal,Rodriguez,Pablo,
24023,Hull--Aylmer,Hull--Aylmer,Bloc,Charette,Alain,
24023,Hull--Aylmer,Hull--Aylmer,Green,Doyle,Christian,
24023,Hull--Aylmer,Hull--Aylmer,Marxist-Leninist,Girard-Bernier,Gabriel,
24023,Hull--Aylmer,Hull--Aylmer,NDP,Laliberté,Pierre,
24023,Hull--Aylmer,Hull--Aylmer,Conservative,Poirier,Gilles,
24023,Hull--Aylmer,Hull--Aylmer,Liberal,Proulx,Marcel,
24024,Jeanne-Le Ber,Jeanne-Le Ber,Conservative,Brunelle,Pierre-Olivier,
24024,Jeanne-Le Ber,Jeanne-Le Ber,Liberal,Frulla,Liza,
24024,Jeanne-Le Ber,Jeanne-Le Ber,Green,Genest,Claude William,
24024,Jeanne-Le Ber,Jeanne-Le Ber,NDP,McLauchlin,Matthew,
24024,Jeanne-Le Ber,Jeanne-Le Ber,Bloc,St-Cyr,Thierry,
24025,Joliette,Joliette,Conservative,Lavallée,Sylvie,
24025,Joliette,Joliette,Liberal,Leclerc,Gérard,
24025,Joliette,Joliette,Green,Lévêque,Jean-François,
24025,Joliette,Joliette,Bloc,Paquette,Pierre A.,
24025,Joliette,Joliette,NDP,Trudeau,Jacques,
24026,Jonquière--Alma,Jonquière--Alma,NDP,Bertrand,Martin,
24026,Jonquière--Alma,Jonquière--Alma,Conservative,Blackburn,Jean-Pierre,
24026,Jonquière--Alma,Jonquière--Alma,Green,Dompierre,Sylvain,
24026,Jonquière--Alma,Jonquière--Alma,Bloc,Gagnon,Sébastien,
24026,Jonquière--Alma,Jonquière--Alma,Liberal,Savard,Gilles,
24027,Lac-Saint-Louis,Lac-Saint-Louis,Green,Graham,Peter,
24027,Lac-Saint-Louis,Lac-Saint-Louis,Bloc,Guertin,Anne-Marie,
24027,Lac-Saint-Louis,Lac-Saint-Louis,Conservative,Paine,Andrea,
24027,Lac-Saint-Louis,Lac-Saint-Louis,NDP,Quinn,Daniel,
24027,Lac-Saint-Louis,Lac-Saint-Louis,Liberal,Scarpaleggia,Francis,
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Liberal,Dominique,Marie-Migniaud,
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Bloc,Lalonde,Francine,
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Conservative,Prévost,Christian,
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Green,Rankin,Benjamin,
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,NDP,Tremblay,Nicolas,
24029,LaSalle--Émard,LaSalle--Émard,Conservative,Bastien,Georges-Alexandre,
24029,LaSalle--Émard,LaSalle--Émard,Marxist-Leninist,Bédard,Jean-Paul,
24029,LaSalle--Émard,LaSalle--Émard,Green,Bellemare,Serge,
24029,LaSalle--Émard,LaSalle--Émard,Bloc,Chiu,May,
24029,LaSalle--Émard,LaSalle--Émard,NDP,Johnson,Russ,
24029,LaSalle--Émard,LaSalle--Émard,Independent,Lebleu,Jean-Philippe,
24029,LaSalle--Émard,LaSalle--Émard,Liberal,Martin,Paul,
24030,Laurentides--Labelle,Laurentides--Labelle,NDP,Auclair,Rose-Aimée,
24030,Laurentides--Labelle,Laurentides--Labelle,Conservative,Beauregard,Jean-Serge,
24030,Laurentides--Labelle,Laurentides--Labelle,Bloc,Deschamps,Johanne,
24030,Laurentides--Labelle,Laurentides--Labelle,Liberal,Fortin,Jean-Pierre,
24030,Laurentides--Labelle,Laurentides--Labelle,Green,Savignac,Richard,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marxist-Leninist,Boutet,Ginette,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Conservative,De Sousa,Carlos,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Bloc,Duceppe,Gilles,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,NDP,Grégoire,François,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Independent,Leduc,Jocelyne,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Green,Perceval-Maxwell,Dylan,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Communist,Ruiz,Evelyn Elizabeth,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Liberal,Tang,Soeung,
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marijuana Party,Tanguay,Nicky,
24032,Laval,Laval,NDP,Beauchamp,Benoît,
24032,Laval,Laval,Bloc,Demers,Nicole,
24032,Laval,Laval,Liberal,Haddad,Alia,
24032,Laval,Laval,Green,Mari,Philippe,
24032,Laval,Laval,Conservative,Migliozzi,Emilio,
24033,Laval--Les Îles,Laval--Les Îles,Liberal,Folco,Raymonde,
24033,Laval--Les Îles,Laval--Les Îles,NDP,Giguère,Alain,
24033,Laval--Les Îles,Laval--Les Îles,Conservative,Hamidi,Qais,
24033,Laval--Les Îles,Laval--Les Îles,Green,Kouretas,Theodore,
24033,Laval--Les Îles,Laval--Les Îles,Bloc,Pichette,Christiane,
24033,Laval--Les Îles,Laval--Les Îles,Marxist-Leninist,Tsakanikas,Polyvios,
24034,Lévis--Bellechasse,Lévis--Bellechasse,Liberal,Baril,Shirley,
24034,Lévis--Bellechasse,Lévis--Bellechasse,Conservative,Blaney,Steven,
24034,Lévis--Bellechasse,Lévis--Bellechasse,NDP,Boucher,Eric,
24034,Lévis--Bellechasse,Lévis--Bellechasse,Independent,Cadrin,Normand,
24034,Lévis--Bellechasse,Lévis--Bellechasse,Green,Castonguay,Mathieu,
24034,Lévis--Bellechasse,Lévis--Bellechasse,Bloc,Lapierre,Réal,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Liberal,Diawara,Lancine,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Marijuana Party,Fiset,David,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,NDP,Haese,Philippe,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Conservative,Legris,Sébastien,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Green,Sommerfeld,Adam,
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Bloc,St-Hilaire,Caroline,
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,NDP,Côté,Raymond,
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Bloc,Desrochers,Odina,
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Conservative,Gourde,Jacques,
