district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
11004,Malpeque,Malpeque,NDP,Brown,J'Nan
11004,Malpeque,Malpeque,Conservative,Crane,Mary
11004,Malpeque,Malpeque,Liberal,Easter,Wayne
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,Cuzner,Rodger
12001,Cape Breton--Canso,Cape Breton--Canso,Green,MacEachern,Dwayne
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,MacNeill,Mark
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,Murphy,Allan Richard
12002,Central Nova,Nova-Centre,Canadian Action,Kemp,Paul
12002,Central Nova,Nova-Centre,NDP,Lorefice,Mary Louise
12002,Central Nova,Nova-Centre,Christian Heritage,MacKay,Michael Harris
12002,Central Nova,Nova-Centre,Conservative,MacKay,Peter Gordon
12002,Central Nova,Nova-Centre,Green,May,Elizabeth
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Christian Heritage,Campbell,George
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,Pye,Brad
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Savage,Michael John
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,Shreenan,Paul
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,Webber,Wanda
12004,Halifax,Halifax,Conservative,Larsen,Ted
12004,Halifax,Halifax,NDP,Leslie,Megan
12004,Halifax,Halifax,Liberal,Meade,Catherine
12004,Halifax,Halifax,Marxist-Leninist,Seed,Tony
12004,Halifax,Halifax,Green,Whetter,Darryl
12005,Halifax West,Halifax-Ouest,Christian Heritage,Ennis,Trevor
12005,Halifax West,Halifax-Ouest,Conservative,Khosla,Rakesh
12005,Halifax West,Halifax-Ouest,NDP,Lorincz,Tamara
12005,Halifax West,Halifax-Ouest,Green,Munday,Michael
12005,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff
12006,Kings--Hants,Kings--Hants,Liberal,Brison,Scott
12006,Kings--Hants,Kings--Hants,NDP,Harris,Carol E.
12006,Kings--Hants,Kings--Hants,Christian Heritage,Hnatiuk,Jim
12006,Kings--Hants,Kings--Hants,Green,MacNeill,Brendan
12006,Kings--Hants,Kings--Hants,Conservative,Segado,Rosemary
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Conservative,Bernard,Joel E.
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Independent,Casey,Bill
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,NDP,Olsson,Karen
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Liberal,Parsons,Tracy
12007,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Independent,Simpson,Rick
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Green,Hartlen,Noreen
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Conservative,Montgomery,David
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Liberal,Scott,Carolyn
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,NDP,Stoffer,Peter
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,NDP,Earle,Gordon S.
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Conservative,Keddy,Gerald
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Christian Heritage,Larkin,Joe
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Green,Oddy,Michael
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Liberal,Smith,Bill
12010,Sydney--Victoria,Sydney--Victoria,Liberal,Eyking,Mark
12010,Sydney--Victoria,Sydney--Victoria,Green,Harker,Collin
12010,Sydney--Victoria,Sydney--Victoria,NDP,McKay,Wayne
12010,Sydney--Victoria,Sydney--Victoria,Conservative,Rudderham,Kristen
12011,West Nova,Nova-Ouest,NDP,Barron,George
12011,West Nova,Nova-Ouest,Conservative,Kerr,Greg
12011,West Nova,Nova-Ouest,Green,Mills,Ronald
12011,West Nova,Nova-Ouest,Independent,Nesbitt,Cindy M.
12011,West Nova,Nova-Ouest,Liberal,Thibault,Robert
13001,Acadie--Bathurst,Acadie--Bathurst,Green,Aubin,Michelle
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative,Dubé,Jean Guy
13001,Acadie--Bathurst,Acadie--Bathurst,NDP,Godin,Yvon
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal,Robichaud,Odette
13002,Beauséjour,Beauséjour,NDP,Durrant,Chris
13002,Beauséjour,Beauséjour,Liberal,LeBlanc,Dominic
13002,Beauséjour,Beauséjour,Conservative,Leger,Omer
13002,Beauséjour,Beauséjour,Green,Milligan,Michael
13003,Fredericton,Fredericton,Conservative,Ashfield,Keith
13003,Fredericton,Fredericton,Green,Babineau,Mary Lou
13003,Fredericton,Fredericton,Liberal,Innes,David
13003,Fredericton,Fredericton,Canadian Action,Kelly,Ben
13003,Fredericton,Fredericton,NDP,Travis,Jesse
13004,Fundy Royal,Fundy Royal,Green,Millett,Erik Matthew
13004,Fundy Royal,Fundy Royal,NDP,Moir,Rob
13004,Fundy Royal,Fundy Royal,Conservative,Moore,Rob
13004,Fundy Royal,Fundy Royal,Liberal,Wright,Mark
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green,Arpin,André
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal,D'Amours,Jean-Claude JC
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative,Ouellet,Jean-Pierre
13005,Madawaska--Restigouche,Madawaska--Restigouche,NDP,Tremblay-Philippe,Thérèse
13006,Miramichi,Miramichi,NDP,Doucet,Donald A.
13006,Miramichi,Miramichi,Liberal,Hubbard,Charles
13006,Miramichi,Miramichi,Conservative,O'Neill-Gordon,Tilly
13006,Miramichi,Miramichi,Green,Smith,Todd
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative,Allain,Daniel
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,NDP,Bainbridge,Carl
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green,Ménard,Alison
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal,Murphy,Brian
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green,Boucher,Robert Wayne
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,NDP,Graham,Andrew
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal,MacIntosh,Nancy
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative,Thompson,Greg
13009,Saint John,Saint John,Marijuana,Moffat,Michael
13009,Saint John,Saint John,NDP,Mowery,Tony
13009,Saint John,Saint John,Green,Richardson,Mike
13009,Saint John,Saint John,Conservative,Weston,Rodney
13009,Saint John,Saint John,Liberal,Zed,Paul
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative,Allen,Mike
13010,Tobique--Mactaquac,Tobique--Mactaquac,NDP,Finnamore,Alice
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green,Glass,Mark
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal,McGrath,Sally
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal,Barrette,Gilbert
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green,Côté,Bruno
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative,Grandmaitre,Pierre
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc,Lemay,Marc
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Independent,Loiselle,Ghislain
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,NDP,Moore,Christine
24002,Ahuntsic,Ahuntsic,Liberal,Bakopanos,Eleni
24002,Ahuntsic,Ahuntsic,NDP,Bélec,Alexandra
24002,Ahuntsic,Ahuntsic,Bloc,Mourani,Maria
24002,Ahuntsic,Ahuntsic,Conservative,Précourt,Jean
24002,Ahuntsic,Ahuntsic,Green,Tremblay,Lynette
24003,Alfred-Pellan,Alfred-Pellan,Bloc,Carrier,Robert
24003,Alfred-Pellan,Alfred-Pellan,Green,Desjardins Drouin,Tristan
24003,Alfred-Pellan,Alfred-Pellan,Independent,Millette,Régent
24003,Alfred-Pellan,Alfred-Pellan,NDP,Roy,Cynthia
24003,Alfred-Pellan,Alfred-Pellan,Liberal,Saintelmy,Wilson
24003,Alfred-Pellan,Alfred-Pellan,Conservative,Salameh,Alexandre
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Green,Audette,Pierre
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Marxist-Leninist,Ferlatte,Christian-Simon
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Bloc,Laframboise,Mario
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Conservative,Pearce,Scott
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Liberal,Robert,André
24004,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,NDP,Senécal,Alain
24005,Beauce,Beauce,Conservative,Bernier,Maxime
24005,Beauce,Beauce,Bloc,Côté,André
24005,Beauce,Beauce,NDP,Poulin,Véronique
24005,Beauce,Beauce,Green,Rochette,Nicolas
24005,Beauce,Beauce,Liberal,Roy,René
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Conservative,Bellemare,Dominique
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Bloc,Debellefeuille,Claude
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Liberal,Lopez,Maria
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,NDP,Quach,Anne Minh Thu
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Green,Smith,David
24007,Beauport--Limoilou,Beauport--Limoilou,NDP,Beaudet,Simon-Pierre
24007,Beauport--Limoilou,Beauport--Limoilou,Independent,Bédard,Simon
24007,Beauport--Limoilou,Beauport--Limoilou,Conservative,Boucher,Sylvie
24007,Beauport--Limoilou,Beauport--Limoilou,Green,Côté,Luc
24007,Beauport--Limoilou,Beauport--Limoilou,Bloc,Mainguy,Éléonore
24007,Beauport--Limoilou,Beauport--Limoilou,Liberal,Picard,Yves
24008,Berthier--Maskinongé,Berthier--Maskinongé,Bloc,André,Guy
24008,Berthier--Maskinongé,Berthier--Maskinongé,NDP,Chauvette,André
24008,Berthier--Maskinongé,Berthier--Maskinongé,Conservative,Godue,Marie-Claude
24008,Berthier--Maskinongé,Berthier--Maskinongé,Green,Lefebvre,Denis
24008,Berthier--Maskinongé,Berthier--Maskinongé,Liberal,Matteau,Jean-Luc
24009,Bourassa,Bourassa,Conservative,Allaire,Michelle
24009,Bourassa,Bourassa,Green,Boucher,François
24009,Bourassa,Bourassa,Liberal,Coderre,Denis
24009,Bourassa,Bourassa,NDP,Laouni,Samira
24009,Bourassa,Bourassa,Bloc,Mailhot,Daniel
24009,Bourassa,Bourassa,Marxist-Leninist,Royer,Geneviève
24010,Brome--Missisquoi,Brome--Missisquoi,NDP,Bogosta,Christelle
24010,Brome--Missisquoi,Brome--Missisquoi,Green,Brassard,Pierre
24010,Brome--Missisquoi,Brome--Missisquoi,Independent,Marler,David
24010,Brome--Missisquoi,Brome--Missisquoi,Bloc,Ouellet,Christian
24010,Brome--Missisquoi,Brome--Missisquoi,Liberal,Paradis,Denis
24010,Brome--Missisquoi,Brome--Missisquoi,Conservative,Quinlan,Mark
24011,Brossard--La Prairie,Brossard--La Prairie,Conservative,Brossard,Maurice
24011,Brossard--La Prairie,Brossard--La Prairie,Marxist-Leninist,Chouinard,Normand
24011,Brossard--La Prairie,Brossard--La Prairie,Bloc,Lussier,Marcel
24011,Brossard--La Prairie,Brossard--La Prairie,NDP,Mai,Hoang
24011,Brossard--La Prairie,Brossard--La Prairie,Liberal,Mendes,Alexandra
24011,Brossard--La Prairie,Brossard--La Prairie,Green,Ziadé,Sonia
24012,Chambly--Borduas,Chambly--Borduas,Green,Adam,Olivier
24012,Chambly--Borduas,Chambly--Borduas,Liberal,Arsenault,Gabriel
24012,Chambly--Borduas,Chambly--Borduas,Conservative,Chartrand,Suzanne
24012,Chambly--Borduas,Chambly--Borduas,NDP,Gélinas,Serge
24012,Chambly--Borduas,Chambly--Borduas,Bloc,Lessard,Yves
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Green,Bédard,François
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Bloc,Courteau,Denis
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,NDP,Day,Anne-Marie
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Liberal,Legros,Denise
24013,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Conservative,Petit,Daniel
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Liberal,Gauthier,Robert
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Bloc,Guimond,Michel
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Green,Legros,Jacques
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Conservative,Tremblay,Guy-Léonard
24014,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,NDP,Tremblay,Jonathan
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Bloc,Freeman,Carole
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,NDP,Jurado,Sonia
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Conservative,Routhier,Pierre-Paul
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Green,Sarwer-Foner,Brian
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Liberal,Schwey,Linda
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc,Bouchard,Robert
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,NDP,Girard,Stéphane
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative,Maltais,Jean-Guy
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal,Pettersen,Marc
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green,Veilleux,Jean-François
24017,Compton--Stanstead,Compton--Stanstead,Bloc,Bonsant,France
24017,Compton--Stanstead,Compton--Stanstead,Green,Caldwell,Gary
24017,Compton--Stanstead,Compton--Stanstead,Conservative,Gagné,Michel
24017,Compton--Stanstead,Compton--Stanstead,Liberal,Hogg,William
24017,Compton--Stanstead,Compton--Stanstead,NDP,Rousseau,Jean
24018,Drummond,Drummond,NDP,Corriveau,Annick
24018,Drummond,Drummond,Liberal,Courchesne,Jean
24018,Drummond,Drummond,Green,Gagnon,Réginald
24018,Drummond,Drummond,Conservative,Komlosy,André
24018,Drummond,Drummond,Bloc,Pomerleau,Roger
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Bloc,Blais,Raynald
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Liberal,Gauvreau,Denis
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Conservative,Gray,Darryl
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,NDP,Langlais,Gaston
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Green,Leblanc,Julien
24020,Gatineau,Gatineau,NDP,Boivin,Françoise
24020,Gatineau,Gatineau,Green,Inglis,David
24020,Gatineau,Gatineau,Bloc,Nadeau,Richard
24020,Gatineau,Gatineau,Liberal,Simard,Michel
24020,Gatineau,Gatineau,Conservative,Tassé,Denis
24021,Hochelaga,Hochelaga,Communist,Breton Fontaine,Marianne
24021,Hochelaga,Hochelaga,Marxist-Leninist,Dandenault,Christine
24021,Hochelaga,Hochelaga,Liberal,Dicaire,Diane
24021,Hochelaga,Hochelaga,Conservative,Labbé,Luc
24021,Hochelaga,Hochelaga,neorhino.ca,Landry,Simon
24021,Hochelaga,Hochelaga,Green,Larochelle,Philippe
24021,Hochelaga,Hochelaga,Marijuana,Longley,Blair T.
24021,Hochelaga,Hochelaga,Bloc,Ménard,Réal
24021,Hochelaga,Hochelaga,NDP,Rocheleau,Jean-Claude
24022,Honoré-Mercier,Honoré-Mercier,Conservative,Alfaro,Rodrigo
24022,Honoré-Mercier,Honoré-Mercier,Green,Bérard,Gaëtan
24022,Honoré-Mercier,Honoré-Mercier,Bloc,Labelle,Gérard
24022,Honoré-Mercier,Honoré-Mercier,NDP,Pilon,François
24022,Honoré-Mercier,Honoré-Mercier,Liberal,Rodriguez,Pablo
24023,Hull--Aylmer,Hull--Aylmer,Bloc,Déry,Raphaël
24023,Hull--Aylmer,Hull--Aylmer,NDP,Ducasse,Pierre
24023,Hull--Aylmer,Hull--Aylmer,Conservative,Fréchette,Paul
24023,Hull--Aylmer,Hull--Aylmer,Marxist-Leninist,Girard-Bernier,Gabriel
24023,Hull--Aylmer,Hull--Aylmer,Green,Pouyot,Frédéric
24023,Hull--Aylmer,Hull--Aylmer,Liberal,Proulx,Marcel
24024,Jeanne-Le Ber,Jeanne-Le Ber,Conservative,Beaudin,Daniel
24024,Jeanne-Le Ber,Jeanne-Le Ber,NDP,Breton,Daniel
24024,Jeanne-Le Ber,Jeanne-Le Ber,Liberal,Feuillette,Christian P.
24024,Jeanne-Le Ber,Jeanne-Le Ber,Independent,Gray,Darryl
24024,Jeanne-Le Ber,Jeanne-Le Ber,Green,Sansoucy,Véronik
24024,Jeanne-Le Ber,Jeanne-Le Ber,Bloc,St-Cyr,Thierry
24025,Joliette,Joliette,Green,Durette,Annie
24025,Joliette,Joliette,Conservative,Lavallée,Sylvie
24025,Joliette,Joliette,Bloc,Paquette,Pierre
24025,Joliette,Joliette,NDP,Raynault,Francine
24025,Joliette,Joliette,Liberal,St-Onge,Suzie
24026,Jonquière--Alma,Jonquière--Alma,Conservative,Blackburn,Jean-Pierre
24026,Jonquière--Alma,Jonquière--Alma,Bloc,Bouchard,Chantale
24026,Jonquière--Alma,Jonquière--Alma,Liberal,Dupéré,Marc
24026,Jonquière--Alma,Jonquière--Alma,NDP,Paradis,Jean-François
24027,Lac-Saint-Louis,Lac-Saint-Louis,Bloc,Clément,Maxime
24027,Lac-Saint-Louis,Lac-Saint-Louis,Green,Graham,Peter
24027,Lac-Saint-Louis,Lac-Saint-Louis,Conservative,Paine,Andrea
24027,Lac-Saint-Louis,Lac-Saint-Louis,NDP,Quinn,Daniel
24027,Lac-Saint-Louis,Lac-Saint-Louis,Liberal,Scarpaleggia,Francis
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,neorhino.ca,Benoit,Ben 97
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Marxist-Leninist,Brunelle,Claude
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Green,Cundari,Domita
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Bloc,Lalonde,Francine
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,NDP,Maguire,Isabelle
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Conservative,Pichet,Hubert
24028,La Pointe-de-l'Île,La Pointe-de-l'Île,Liberal,Sarr,Oumy
24029,LaSalle--Émard,LaSalle--Émard,NDP,Darwish,Amy
24029,LaSalle--Émard,LaSalle--Émard,Conservative,Guay-Pepper,Béatrice
24029,LaSalle--Émard,LaSalle--Émard,Bloc,Isaya,Frédéric
24029,LaSalle--Émard,LaSalle--Émard,Independent,Kaluzny,Antoine
24029,LaSalle--Émard,LaSalle--Émard,Marxist-Leninist,Le Seigle,Yves
24029,LaSalle--Émard,LaSalle--Émard,Green,Vitelli,Kristina
24029,LaSalle--Émard,LaSalle--Émard,Liberal,Zarac,Lise
24030,Laurentides--Labelle,Laurentides--Labelle,Bloc,Deschamps,Johanne
24030,Laurentides--Labelle,Laurentides--Labelle,NDP,Dupras,David
24030,Laurentides--Labelle,Laurentides--Labelle,Liberal,Gfeller,Pierre
24030,Laurentides--Labelle,Laurentides--Labelle,Conservative,Joncas,Guy
24030,Laurentides--Labelle,Laurentides--Labelle,Green,Rigal,Jacques
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Liberal,Caron,Sébastien
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Bloc,Duceppe,Gilles
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,neorhino.ca,Gourd,François Yo
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,NDP,Grégoire,François
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marxist-Leninist,Lachapelle,Serge
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Independent,Laforest,"Daniel ""F4J"""
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Conservative,Langford,Charles K.
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Communist,Pagé-Quirion,Samie
24031,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Green,Perceval-Maxwell,Dylan
24032,Laval,Laval,Conservative,Bélisle,Jean-Pierre
24032,Laval,Laval,Marxist-Leninist,Breton,Yvon
24032,Laval,Laval,Bloc,Demers,Nicole
24032,Laval,Laval,NDP,Giguère,Alain
24032,Laval,Laval,Liberal,Haddad,Alia
24032,Laval,Laval,Green,Madelein,Eric
24033,Laval--Les Îles,Laval--Les Îles,NDP,El-Masri,Zahia
24033,Laval--Les Îles,Laval--Les Îles,Conservative,Evereklian,Agop
24033,Laval--Les Îles,Laval--Les Îles,Liberal,Folco,Raymonde
24033,Laval--Les Îles,Laval--Les Îles,Bloc,Jetha,Mohamedali
24033,Laval--Les Îles,Laval--Les Îles,Green,Neil,Brent
24033,Laval--Les Îles,Laval--Les Îles,neorhino.ca,Trottier,Sylvain A.
24034,Lévis--Bellechasse,Lévis--Bellechasse,Bloc,Bergeron,Guy
24034,Lévis--Bellechasse,Lévis--Bellechasse,NDP,Biron,Gabriel
24034,Lévis--Bellechasse,Lévis--Bellechasse,Conservative,Blaney,Steven
24034,Lévis--Bellechasse,Lévis--Bellechasse,Green,Champoux-Williams,Lynne
24034,Lévis--Bellechasse,Lévis--Bellechasse,Liberal,Côté,Pauline
24034,Lévis--Bellechasse,Lévis--Bellechasse,Marxist-Leninist,Fournier,Normand
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Conservative,Bouchard,Jacques
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Bloc,Dorion,Jean
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Liberal,Hillier,Ryan
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Green,Moreau,Danielle
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Marxist-Leninist,Patenaude,Serge
24035,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,NDP,St-Denis,Lise
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,NDP,Côté,Raymond
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Conservative,Gourde,Jacques
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Liberal,Hovington,Marie-Thérèse
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Green,Picknell,Shirley
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Bloc,Sarrazin-Bourgoin,Antoine
