District,Poll Number,Poll Name,Bill Cocks,Kevin Dodd,Monte Kenton Solberg,Betty Stroh,Rejected Ballots,Total Vote,Electors
Medicine Hat/Medicine Hat,49,Taber,15,8,139,7,0,169,347
Medicine Hat/Medicine Hat,50,Taber,33,7,171,11,0,222,459
Medicine Hat/Medicine Hat,51,Taber,26,3,127,14,0,170,396
Medicine Hat/Medicine Hat,52,Taber,19,2,140,10,0,171,412
Medicine Hat/Medicine Hat,53,Taber,9,5,129,7,0,150,365
Medicine Hat/Medicine Hat,54,Taber,20,12,120,10,1,163,390
Medicine Hat/Medicine Hat,55A,Taber,15,2,120,6,0,143,272
Medicine Hat/Medicine Hat,55B,Mobile poll/Bureau itinérant,Merged with No. 56B,,,,,,39
Medicine Hat/Medicine Hat,56A,Taber,26,3,129,4,1,163,331
Medicine Hat/Medicine Hat,56B,Mobile poll/Bureau itinérant,9,2,40,5,0,56,61
Medicine Hat/Medicine Hat,57,Taber,20,7,128,13,0,168,367
Medicine Hat/Medicine Hat,58,Taber,13,1,118,6,0,138,294
Medicine Hat/Medicine Hat,59,Taber,16,12,149,10,1,188,444
Medicine Hat/Medicine Hat,60,Buffalo,13,3,130,10,0,156,241
Medicine Hat/Medicine Hat,61,Ralston,19,11,126,13,0,169,325
Medicine Hat/Medicine Hat,62,Hilda,13,0,72,6,0,91,171
Medicine Hat/Medicine Hat,63,Bowmanton,3,2,95,10,0,110,187
Medicine Hat/Medicine Hat,64,Schuler,10,3,108,6,0,127,170
Medicine Hat/Medicine Hat,65,Bowell,5,6,93,13,0,117,181
Medicine Hat/Medicine Hat,66,Redcliff,27,7,205,22,0,261,556
Medicine Hat/Medicine Hat,67,Redcliff,28,11,133,24,1,197,545
Medicine Hat/Medicine Hat,68,Redcliff,21,9,115,27,0,172,359
Medicine Hat/Medicine Hat,69,Redcliff,12,10,134,24,2,182,370
Medicine Hat/Medicine Hat,70,Redcliff,48,19,266,48,0,381,743
Medicine Hat/Medicine Hat,71,Redcliff,24,8,155,35,0,222,447
Medicine Hat/Medicine Hat,72,Redcliff,10,4,94,14,1,123,243
Medicine Hat/Medicine Hat,73,Medicine Hat,11,11,199,15,0,236,415
Medicine Hat/Medicine Hat,74,Seven Persons,25,13,245,19,0,302,495
Medicine Hat/Medicine Hat,75,Bullshead,14,11,147,15,0,187,304
Medicine Hat/Medicine Hat,76A,Dunmore,17,12,209,8,0,246,481
Medicine Hat/Medicine Hat,76B,Dunmore,13,6,219,22,1,261,500
Medicine Hat/Medicine Hat,77,Irvine,22,8,91,16,1,138,345
Medicine Hat/Medicine Hat,78,Irvine,13,7,94,10,1,125,221
Medicine Hat/Medicine Hat,79,Elkwater,8,3,152,11,0,174,252
Medicine Hat/Medicine Hat,80,Medicine Hat,23,7,115,39,1,185,471
Medicine Hat/Medicine Hat,81,Medicine Hat,52,7,189,22,0,270,478
Medicine Hat/Medicine Hat,82,Medicine Hat,31,5,138,21,0,195,397
Medicine Hat/Medicine Hat,83,Medicine Hat,21,5,174,19,0,219,508
Medicine Hat/Medicine Hat,84,Medicine Hat,22,7,220,32,1,282,670
Medicine Hat/Medicine Hat,85,Medicine Hat,39,11,228,32,0,310,694
Medicine Hat/Medicine Hat,86,Medicine Hat,19,4,117,37,0,177,326
Medicine Hat/Medicine Hat,87,Medicine Hat,22,13,143,26,0,204,375
Medicine Hat/Medicine Hat,88,Medicine Hat,27,8,126,49,0,210,385
Medicine Hat/Medicine Hat,89,Medicine Hat,16,9,78,29,0,132,287
Medicine Hat/Medicine Hat,90,Medicine Hat,25,3,113,22,1,164,336
Medicine Hat/Medicine Hat,91,Medicine Hat,19,7,125,20,0,171,432
Medicine Hat/Medicine Hat,92,Medicine Hat,18,7,150,22,0,197,353
Medicine Hat/Medicine Hat,93,Medicine Hat,11,4,59,12,0,86,208
Medicine Hat/Medicine Hat,94,Medicine Hat,26,8,125,32,0,191,422
Medicine Hat/Medicine Hat,95,Medicine Hat,28,12,148,39,0,227,417
Medicine Hat/Medicine Hat,96,Medicine Hat,19,7,158,22,1,207,332
Medicine Hat/Medicine Hat,97,Medicine Hat,32,8,139,31,3,213,335
Medicine Hat/Medicine Hat,98,Medicine Hat,19,4,117,31,0,171,304
Medicine Hat/Medicine Hat,99,Medicine Hat,23,6,97,22,1,149,265
Medicine Hat/Medicine Hat,100,Medicine Hat,41,6,112,29,0,188,307
Medicine Hat/Medicine Hat,101,Medicine Hat,32,11,105,32,0,180,435
Medicine Hat/Medicine Hat,102,Medicine Hat,25,14,87,23,0,149,327
Medicine Hat/Medicine Hat,103,Medicine Hat,33,6,108,27,0,174,339
Medicine Hat/Medicine Hat,104,Medicine Hat,54,8,223,23,0,308,500
Medicine Hat/Medicine Hat,105,Medicine Hat,34,15,155,26,1,231,464
Medicine Hat/Medicine Hat,106,Medicine Hat,44,14,187,36,1,282,488
Medicine Hat/Medicine Hat,107,Medicine Hat,32,16,109,36,2,195,368
Medicine Hat/Medicine Hat,108,Medicine Hat,23,14,81,32,0,150,354
Medicine Hat/Medicine Hat,109,Medicine Hat,33,7,106,27,0,173,437
Medicine Hat/Medicine Hat,110,Medicine Hat,27,8,60,25,0,120,373
Medicine Hat/Medicine Hat,111,Medicine Hat,23,12,134,38,0,207,488
Medicine Hat/Medicine Hat,112,Medicine Hat,19,4,108,9,1,141,355
Medicine Hat/Medicine Hat,113,Medicine Hat,23,6,125,13,2,169,410
Medicine Hat/Medicine Hat,114,Medicine Hat,15,14,104,26,2,161,341
Medicine Hat/Medicine Hat,115,Medicine Hat,26,17,122,34,0,199,459
Medicine Hat/Medicine Hat,116,Medicine Hat,26,23,89,53,1,192,400
Medicine Hat/Medicine Hat,117,Medicine Hat,44,13,93,27,1,178,481
Medicine Hat/Medicine Hat,118,Medicine Hat,8,8,85,15,1,117,405
Medicine Hat/Medicine Hat,119,Medicine Hat,16,5,110,27,2,160,343
Medicine Hat/Medicine Hat,120,Medicine Hat,22,8,82,44,0,156,307
Medicine Hat/Medicine Hat,121,Medicine Hat,29,6,118,39,1,193,408
Medicine Hat/Medicine Hat,122,Medicine Hat,11,6,58,16,0,91,359
Medicine Hat/Medicine Hat,123,Medicine Hat,11,14,68,12,0,105,322
Medicine Hat/Medicine Hat,124,Medicine Hat,27,8,142,25,0,202,389
Medicine Hat/Medicine Hat,125,Medicine Hat,37,8,143,27,1,216,396
Medicine Hat/Medicine Hat,126,Medicine Hat,19,6,128,47,0,200,410
Medicine Hat/Medicine Hat,127,Medicine Hat,21,4,94,28,1,148,305
Medicine Hat/Medicine Hat,128A,Medicine Hat,10,8,104,12,1,135,235
Medicine Hat/Medicine Hat,128B,Medicine Hat,24,7,123,10,0,164,412
Medicine Hat/Medicine Hat,128C,Medicine Hat,13,3,110,11,0,137,241
Medicine Hat/Medicine Hat,129,Medicine Hat,21,11,102,27,0,161,301
Medicine Hat/Medicine Hat,130,Medicine Hat,11,1,77,11,0,100,305
Medicine Hat/Medicine Hat,131,Medicine Hat,23,5,91,18,0,137,217
Medicine Hat/Medicine Hat,132,Medicine Hat,28,8,155,13,0,204,300
Medicine Hat/Medicine Hat,133,Medicine Hat,19,1,106,14,0,140,252
Medicine Hat/Medicine Hat,134,Medicine Hat,34,6,117,29,0,186,370
Medicine Hat/Medicine Hat,135,Medicine Hat,41,2,166,19,3,231,432
Medicine Hat/Medicine Hat,136,Medicine Hat,38,3,181,18,3,243,344
Medicine Hat/Medicine Hat,137,Medicine Hat,14,5,120,16,0,155,334
Medicine Hat/Medicine Hat,138,Medicine Hat,52,4,275,13,0,344,499
Medicine Hat/Medicine Hat,139,Medicine Hat,80,5,318,38,4,445,700
Medicine Hat/Medicine Hat,140,Medicine Hat,14,5,112,20,0,151,355
Medicine Hat/Medicine Hat,141,Medicine Hat,29,3,109,21,0,162,406
Medicine Hat/Medicine Hat,142,Medicine Hat,31,12,204,44,1,292,698
Medicine Hat/Medicine Hat,143,Medicine Hat,42,11,296,40,0,389,823
Medicine Hat/Medicine Hat,144,Medicine Hat,43,10,230,27,0,310,538
Medicine Hat/Medicine Hat,145,Medicine Hat,23,8,175,22,2,230,427
Medicine Hat/Medicine Hat,146,Medicine Hat,29,13,171,26,2,241,652
Medicine Hat/Medicine Hat,147,Medicine Hat,22,4,202,22,0,250,483
Medicine Hat/Medicine Hat,148,Medicine Hat,14,4,110,22,0,150,323
Medicine Hat/Medicine Hat,149,Medicine Hat,22,8,118,24,0,172,391
Medicine Hat/Medicine Hat,150,Medicine Hat,21,5,160,34,2,222,396
Medicine Hat/Medicine Hat,151,Medicine Hat,26,4,167,23,0,220,423
Medicine Hat/Medicine Hat,152,Medicine Hat,11,4,91,16,1,123,310
Medicine Hat/Medicine Hat,153,Medicine Hat,22,6,100,21,0,149,336
Medicine Hat/Medicine Hat,154,Medicine Hat,27,5,118,18,1,169,409
Medicine Hat/Medicine Hat,155,Medicine Hat,30,8,136,17,0,191,292
Medicine Hat/Medicine Hat,156,Medicine Hat,20,8,138,17,1,184,332
Medicine Hat/Medicine Hat,157,Medicine Hat,21,5,113,16,0,155,321
Medicine Hat/Medicine Hat,158,Medicine Hat,26,5,121,17,0,169,335
Medicine Hat/Medicine Hat,159,Medicine Hat,29,5,128,29,0,191,423
Medicine Hat/Medicine Hat,160,Medicine Hat,15,3,85,17,1,121,290
Medicine Hat/Medicine Hat,161,Medicine Hat,27,10,127,13,0,177,411
Medicine Hat/Medicine Hat,162,Medicine Hat,36,12,173,28,0,249,500
Medicine Hat/Medicine Hat,163,Medicine Hat,41,10,163,27,2,243,484
Medicine Hat/Medicine Hat,164,Medicine Hat,30,8,212,34,0,284,513
Medicine Hat/Medicine Hat,165,Medicine Hat,42,10,153,25,0,230,425
Medicine Hat/Medicine Hat,166,Medicine Hat,40,6,146,19,0,211,373
Medicine Hat/Medicine Hat,167,Medicine Hat,32,9,143,23,0,207,356
Medicine Hat/Medicine Hat,168,Medicine Hat,34,9,140,23,1,207,378
Medicine Hat/Medicine Hat,169,Medicine Hat,23,10,186,21,0,240,536
Medicine Hat/Medicine Hat,170,Medicine Hat,20,9,128,19,1,177,338
Medicine Hat/Medicine Hat,171,Medicine Hat,20,2,133,14,0,169,329
Medicine Hat/Medicine Hat,172,Medicine Hat,32,6,207,17,0,262,442
Medicine Hat/Medicine Hat,173,Medicine Hat,23,5,194,20,0,242,434
Medicine Hat/Medicine Hat,174,Medicine Hat,36,8,204,24,0,272,458
Medicine Hat/Medicine Hat,175,Burdett,12,9,195,6,0,222,342
Medicine Hat/Medicine Hat,176,Bow Island,6,3,99,1,1,110,185
Medicine Hat/Medicine Hat,177,Bow Island,19,11,175,20,0,225,355
Medicine Hat/Medicine Hat,178,Bow Island,7,9,141,9,0,166,277
Medicine Hat/Medicine Hat,179,Bow Island,15,12,186,16,0,229,601
Medicine Hat/Medicine Hat,180,Bow Island,5,2,154,11,0,172,271
Medicine Hat/Medicine Hat,181,Skiff,2,3,38,0,0,43,80
Medicine Hat/Medicine Hat,182,Foremost,17,10,171,22,0,220,331
Medicine Hat/Medicine Hat,183,Foremost,16,4,138,8,0,166,401
Medicine Hat/Medicine Hat,184,Etzikom,9,0,74,3,0,86,178
Medicine Hat/Medicine Hat,185,Manyberries,4,1,157,3,0,165,240
Medicine Hat/Medicine Hat,186,Aden,0,0,22,0,0,22,33
Medicine Hat/Medicine Hat,400,Medicine Hat,13,1,36,3,1,54,68
Medicine Hat/Medicine Hat,401,Medicine Hat,10,5,24,4,0,43,66
Medicine Hat/Medicine Hat,500,Mobile poll/Bureau itinérant,11,2,94,6,1,114,159
Medicine Hat/Medicine Hat,501,Mobile poll/Bureau itinérant,28,3,60,14,1,106,252
Medicine Hat/Medicine Hat,600,Newell County No. 4,2,8,80,1,0,91,
Medicine Hat/Medicine Hat,601,Brooks--Newell County No. 4,38,5,433,25,0,501,
Medicine Hat/Medicine Hat,602,Taber,8,4,101,1,0,114,
Medicine Hat/Medicine Hat,603,Taber,28,0,275,18,3,324,
Medicine Hat/Medicine Hat,604,Bow Island,20,3,83,4,1,111,
Medicine Hat/Medicine Hat,605,Medicine Hat,54,14,398,51,4,521,
Medicine Hat/Medicine Hat,606,Medicine Hat,62,14,402,35,1,514,
Medicine Hat/Medicine Hat,607,Medicine Hat,33,10,204,24,1,272,
Medicine Hat/Medicine Hat,608,Cypress County--Empress,17,5,162,18,0,202,
Medicine Hat/Medicine Hat,609,Cypress No. 1,7,1,51,1,0,60,
Medicine Hat/Medicine Hat,,Group 1/Groupe 1,16,7,55,8,2,88,163
Medicine Hat/Medicine Hat,,Group 2/Groupe 2,52,15,412,57,10,546,
