Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bev Botter,Kevin Dodd,Wally Regehr,Monte Solberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Medicine Hat/Medicine Hat"," 64","Schuler",6,1,8,105,0,120,166
"Medicine Hat/Medicine Hat"," 65","Bowell",3,3,6,90,0,102,168
"Medicine Hat/Medicine Hat"," 66","Redcliff",23,20,35,262,0,340,686
"Medicine Hat/Medicine Hat"," 67","Redcliff",23,16,23,135,0,197,487
"Medicine Hat/Medicine Hat"," 68","Redcliff",22,13,15,131,1,182,381
"Medicine Hat/Medicine Hat"," 69","Redcliff",25,10,24,192,1,252,494
"Medicine Hat/Medicine Hat"," 70","Redcliff",42,18,37,346,0,443,852
"Medicine Hat/Medicine Hat"," 71","Redcliff",11,8,22,180,0,221,498
"Medicine Hat/Medicine Hat"," 72","Redcliff",9,2,10,130,0,151,256
"Medicine Hat/Medicine Hat"," 73","Medicine Hat",5,11,15,194,0,225,415
"Medicine Hat/Medicine Hat"," 74","Seven Persons",23,9,23,270,0,325,484
"Medicine Hat/Medicine Hat"," 75","Bullshead",17,13,17,196,0,243,388
"Medicine Hat/Medicine Hat"," 76A","Dunmore",10,6,13,224,0,253,444
"Medicine Hat/Medicine Hat"," 76B","Dunmore",8,10,24,249,1,292,534
"Medicine Hat/Medicine Hat"," 77","Irvine",18,14,13,140,0,185,373
"Medicine Hat/Medicine Hat"," 78","Irvine",12,9,11,134,0,166,293
"Medicine Hat/Medicine Hat"," 79","Elkwater",4,2,6,130,0,142,249
"Medicine Hat/Medicine Hat"," 80","Medicine Hat",19,6,27,132,0,184,525
"Medicine Hat/Medicine Hat"," 81A","Medicine Hat",40,18,38,312,1,409,757
"Medicine Hat/Medicine Hat"," 81B","Mobile poll/Bureau itinérant",18,2,8,68,0,96,88
"Medicine Hat/Medicine Hat"," 82","Medicine Hat",27,6,23,169,1,226,416
"Medicine Hat/Medicine Hat"," 83","Medicine Hat",19,12,31,234,0,296,618
"Medicine Hat/Medicine Hat"," 84","Medicine Hat",21,11,40,221,0,293,681
"Medicine Hat/Medicine Hat"," 85","Medicine Hat",45,12,55,380,0,492,1007
"Medicine Hat/Medicine Hat"," 86","Medicine Hat",11,11,27,136,0,185,339
"Medicine Hat/Medicine Hat"," 87","Medicine Hat",25,15,18,163,0,221,390
"Medicine Hat/Medicine Hat"," 88","Medicine Hat",23,10,35,155,1,224,402
"Medicine Hat/Medicine Hat"," 89","Medicine Hat",20,9,32,98,0,159,281
"Medicine Hat/Medicine Hat"," 90","Medicine Hat",28,6,22,132,2,190,370
"Medicine Hat/Medicine Hat"," 91","Medicine Hat",15,7,21,140,0,183,426
"Medicine Hat/Medicine Hat"," 92","Medicine Hat",14,13,12,149,1,189,327
"Medicine Hat/Medicine Hat"," 93","Medicine Hat",12,0,9,72,0,93,197
"Medicine Hat/Medicine Hat"," 94","Medicine Hat",30,9,23,139,1,202,427
"Medicine Hat/Medicine Hat"," 95","Medicine Hat",23,11,29,163,1,227,429
"Medicine Hat/Medicine Hat"," 96","Medicine Hat",11,4,22,178,0,215,339
"Medicine Hat/Medicine Hat"," 97","Medicine Hat",40,5,16,146,12,219,345
"Medicine Hat/Medicine Hat"," 98","Medicine Hat",20,11,26,117,0,174,310
"Medicine Hat/Medicine Hat"," 99","Medicine Hat",19,9,13,106,0,147,265
"Medicine Hat/Medicine Hat"," 100","Medicine Hat",29,6,19,116,1,171,320
"Medicine Hat/Medicine Hat"," 101","Medicine Hat",29,14,14,143,1,201,432
"Medicine Hat/Medicine Hat"," 102","Medicine Hat",20,9,25,114,0,168,334
"Medicine Hat/Medicine Hat"," 103","Medicine Hat",29,8,23,120,0,180,353
"Medicine Hat/Medicine Hat"," 104","Medicine Hat",28,9,21,276,0,334,528
"Medicine Hat/Medicine Hat"," 105","Medicine Hat",21,9,25,164,0,219,478
"Medicine Hat/Medicine Hat"," 106","Medicine Hat",34,22,32,186,0,274,497
"Medicine Hat/Medicine Hat"," 107","Medicine Hat",16,7,41,115,3,182,361
"Medicine Hat/Medicine Hat"," 108A","Medicine Hat",22,8,24,109,0,163,340
"Medicine Hat/Medicine Hat"," 108B","Mobile poll/Bureau itinérant",14,1,9,53,0,77,32
"Medicine Hat/Medicine Hat"," 109","Medicine Hat",24,7,28,121,0,180,495
"Medicine Hat/Medicine Hat"," 110A","Medicine Hat",17,14,15,66,0,112,293
"Medicine Hat/Medicine Hat"," 110B","Mobile poll/Bureau itinérant",Merged with No. 81B/Fusionné avec le nº 81B,,,,,,49
"Medicine Hat/Medicine Hat"," 110C","Mobile poll/Bureau itinérant",Merged with No. 81B/Fusionné avec le nº 81B,,,,,,50
"Medicine Hat/Medicine Hat"," 111","Medicine Hat",26,21,45,208,0,300,618
"Medicine Hat/Medicine Hat"," 112","Medicine Hat",17,5,16,139,1,178,333
"Medicine Hat/Medicine Hat"," 113","Medicine Hat",30,2,18,122,0,172,444
"Medicine Hat/Medicine Hat"," 114","Medicine Hat",18,10,23,110,0,161,380
"Medicine Hat/Medicine Hat"," 115","Medicine Hat",42,13,35,148,0,238,492
"Medicine Hat/Medicine Hat"," 116","Medicine Hat",15,16,30,134,0,195,412
"Medicine Hat/Medicine Hat"," 117","Medicine Hat",27,14,25,120,0,186,497
"Medicine Hat/Medicine Hat"," 118","Medicine Hat",15,12,24,105,0,156,449
"Medicine Hat/Medicine Hat"," 119","Medicine Hat",29,8,14,127,2,180,352
"Medicine Hat/Medicine Hat"," 120A","Medicine Hat",15,13,23,101,1,153,299
"Medicine Hat/Medicine Hat"," 120B","Mobile poll/Bureau itinérant",Merged with No. 108B/Fusionné avec le nº 108B,,,,,,26
"Medicine Hat/Medicine Hat"," 121","Medicine Hat",33,15,26,130,0,204,423
"Medicine Hat/Medicine Hat"," 122","Medicine Hat",9,2,19,68,0,98,378
"Medicine Hat/Medicine Hat"," 123","Medicine Hat",11,10,13,77,0,111,341
"Medicine Hat/Medicine Hat"," 124","Medicine Hat",26,10,12,161,1,210,371
"Medicine Hat/Medicine Hat"," 125","Medicine Hat",32,9,23,138,1,203,389
"Medicine Hat/Medicine Hat"," 126","Medicine Hat",15,16,19,142,0,192,442
"Medicine Hat/Medicine Hat"," 127","Medicine Hat",20,5,20,114,0,159,310
"Medicine Hat/Medicine Hat"," 128A","Medicine Hat",12,6,4,148,0,170,319
"Medicine Hat/Medicine Hat"," 128B","Medicine Hat",34,9,21,165,0,229,437
"Medicine Hat/Medicine Hat"," 128C","Medicine Hat",25,16,34,547,3,625,1176
"Medicine Hat/Medicine Hat"," 129","Medicine Hat",12,11,20,129,0,172,297
"Medicine Hat/Medicine Hat"," 130","Medicine Hat",12,8,18,75,1,114,328
"Medicine Hat/Medicine Hat"," 131","Medicine Hat",16,12,20,100,0,148,264
"Medicine Hat/Medicine Hat"," 132A","Medicine Hat",22,4,10,134,0,170,287
"Medicine Hat/Medicine Hat"," 132B","Mobile poll/Bureau itinérant",Merged with No. 108B/Fusionné avec le nº 108B,,,,,,30
"Medicine Hat/Medicine Hat"," 133","Medicine Hat",16,3,18,117,0,154,248
"Medicine Hat/Medicine Hat"," 134","Medicine Hat",14,15,17,138,0,184,365
"Medicine Hat/Medicine Hat"," 135","Medicine Hat",29,4,18,182,4,237,444
"Medicine Hat/Medicine Hat"," 136","Medicine Hat",26,3,19,169,1,218,335
"Medicine Hat/Medicine Hat"," 137","Medicine Hat",17,4,12,125,0,158,343
"Medicine Hat/Medicine Hat"," 138","Medicine Hat",43,4,20,263,0,330,505
"Medicine Hat/Medicine Hat"," 139","Medicine Hat",69,3,41,381,3,497,807
"Medicine Hat/Medicine Hat"," 140","Medicine Hat",15,5,17,131,0,168,381
"Medicine Hat/Medicine Hat"," 141","Medicine Hat",24,9,25,131,0,189,401
"Medicine Hat/Medicine Hat"," 142","Medicine Hat",28,11,28,176,0,243,556
"Medicine Hat/Medicine Hat"," 143A","Medicine Hat",25,6,29,231,1,292,546
"Medicine Hat/Medicine Hat"," 143B","Medicine Hat",17,4,26,244,0,291,572
"Medicine Hat/Medicine Hat"," 144","Medicine Hat",27,12,19,270,2,330,544
"Medicine Hat/Medicine Hat"," 145","Medicine Hat",15,4,23,197,0,239,419
"Medicine Hat/Medicine Hat"," 146","Medicine Hat",29,20,21,280,0,350,760
"Medicine Hat/Medicine Hat"," 147","Medicine Hat",25,9,31,223,0,288,503
"Medicine Hat/Medicine Hat"," 148","Medicine Hat",17,5,22,140,0,184,346
"Medicine Hat/Medicine Hat"," 149","Medicine Hat",24,7,26,134,2,193,398
"Medicine Hat/Medicine Hat"," 150","Medicine Hat",22,5,26,186,0,239,405
"Medicine Hat/Medicine Hat"," 151","Medicine Hat",26,6,20,180,0,232,467
"Medicine Hat/Medicine Hat"," 152","Medicine Hat",17,1,13,117,0,148,339
"Medicine Hat/Medicine Hat"," 153","Medicine Hat",20,8,20,120,0,168,357
"Medicine Hat/Medicine Hat"," 154","Medicine Hat",23,4,19,135,0,181,439
"Medicine Hat/Medicine Hat"," 155","Medicine Hat",21,9,18,147,1,196,280
"Medicine Hat/Medicine Hat"," 156","Medicine Hat",22,8,12,136,0,178,340
"Medicine Hat/Medicine Hat"," 157","Medicine Hat",22,5,20,106,0,153,341
"Medicine Hat/Medicine Hat"," 158","Medicine Hat",22,8,19,126,0,175,323
"Medicine Hat/Medicine Hat"," 159A","Medicine Hat",29,9,18,120,0,176,376
"Medicine Hat/Medicine Hat"," 159B","Mobile poll/Bureau itinérant",Merged with No. 108B/Fusionné avec le nº 108B,,,,,,16
"Medicine Hat/Medicine Hat"," 160","Medicine Hat",8,2,15,99,0,124,287
"Medicine Hat/Medicine Hat"," 161","Medicine Hat",21,9,13,133,0,176,414
"Medicine Hat/Medicine Hat"," 162","Medicine Hat",28,8,33,214,0,283,493
"Medicine Hat/Medicine Hat"," 163","Medicine Hat",30,10,25,202,0,267,512
"Medicine Hat/Medicine Hat"," 164","Medicine Hat",19,14,37,216,0,286,539
"Medicine Hat/Medicine Hat"," 165","Medicine Hat",20,9,25,163,0,217,439
"Medicine Hat/Medicine Hat"," 166","Medicine Hat",27,5,17,159,0,208,365
"Medicine Hat/Medicine Hat"," 167","Medicine Hat",17,9,21,160,0,207,371
"Medicine Hat/Medicine Hat"," 168","Medicine Hat",17,10,17,170,0,214,386
"Medicine Hat/Medicine Hat"," 169","Medicine Hat",26,10,29,216,2,283,556
"Medicine Hat/Medicine Hat"," 170","Medicine Hat",18,3,33,144,0,198,344
"Medicine Hat/Medicine Hat"," 171","Medicine Hat",19,2,20,118,0,159,323
"Medicine Hat/Medicine Hat"," 172","Medicine Hat",23,2,15,219,0,259,446
"Medicine Hat/Medicine Hat"," 173","Medicine Hat",33,3,16,209,0,261,445
"Medicine Hat/Medicine Hat"," 174","Medicine Hat",28,12,16,231,1,288,467
"Medicine Hat/Medicine Hat"," 175","Burdett",8,9,4,192,0,213,357
"Medicine Hat/Medicine Hat"," 176","Bow Island",4,2,7,109,1,123,257
"Medicine Hat/Medicine Hat"," 177","Bow Island",14,8,17,179,0,218,407
"Medicine Hat/Medicine Hat"," 178","Bow Island",2,10,21,156,0,189,321
"Medicine Hat/Medicine Hat"," 179","Bow Island",16,11,7,173,1,208,462
"Medicine Hat/Medicine Hat"," 180","Bow Island",7,7,3,168,0,185,383
"Medicine Hat/Medicine Hat"," 181","Skiff",0,5,2,52,0,59,260
"Medicine Hat/Medicine Hat"," 182","Foremost",9,8,23,173,0,213,340
"Medicine Hat/Medicine Hat"," 183","Foremost",5,6,11,138,0,160,268
"Medicine Hat/Medicine Hat"," 184","Etzikom",1,1,7,71,0,80,251
"Medicine Hat/Medicine Hat"," 185","Manyberries",4,1,2,172,0,179,253
"Medicine Hat/Medicine Hat"," 186","Aden",Merged with No. 185/Fusionné avec le nº 185,,,,,,29
"Medicine Hat/Medicine Hat"," 400","Mobile poll/Bureau itinérant",15,3,11,45,2,76,103
"Medicine Hat/Medicine Hat"," 401","Mobile poll/Bureau itinérant",Merged with No. 400/Fusionné avec le nº 400,,,,,,55
"Medicine Hat/Medicine Hat"," 500","Mobile poll/Bureau itinérant",15,5,5,209,1,235,231
"Medicine Hat/Medicine Hat"," 501","Mobile poll/Bureau itinérant",29,3,9,93,4,138,242
"Medicine Hat/Medicine Hat"," 600","Newell County No. 4",3,4,2,107,0,116,
"Medicine Hat/Medicine Hat"," 601","Newell County No. 4--Brooks",38,18,25,706,1,788,
"Medicine Hat/Medicine Hat"," 602","Cypress County--Empress",7,2,6,107,1,123,
"Medicine Hat/Medicine Hat"," 603","Cypress County--Redcliff",17,4,10,164,0,195,
"Medicine Hat/Medicine Hat"," 604","Taber",3,4,5,128,0,140,
"Medicine Hat/Medicine Hat"," 605","Taber",20,5,15,278,0,318,
"Medicine Hat/Medicine Hat"," 606","Bow Island",12,4,8,127,0,151,
"Medicine Hat/Medicine Hat"," 607","Medicine Hat",29,17,23,275,0,344,
"Medicine Hat/Medicine Hat"," 608","Medicine Hat",21,16,21,133,1,192,
"Medicine Hat/Medicine Hat"," 609","Medicine Hat",27,8,23,266,1,325,
"Medicine Hat/Medicine Hat"," 610","Medicine Hat",47,7,44,480,4,582,
"Medicine Hat/Medicine Hat"," 611","Cypress County--Dunmore",3,5,4,94,0,106,
"Medicine Hat/Medicine Hat"," 612","Forty Mile County No. 8",3,0,3,69,0,75,
"Medicine Hat/Medicine Hat",,Group 1/Groupe 1,29,9,3,52,3,96,165
"Medicine Hat/Medicine Hat",,Group 2/Groupe 2,98,47,75,958,7,1185,
