Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carl Anthony Arnold,Guy Gallant,Jacquie Robichaud,Gail Shea,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 501","Mobile poll/Bureau itinérant",1,49,21,70,9,150,282
11003,"Egmont/Egmont"," 600","Tignish",3,197,11,507,6,724,
11003,"Egmont/Egmont"," 601","Alberton",8,157,35,350,8,558,
11003,"Egmont/Egmont"," 602","O'Leary",3,203,43,346,2,597,
11003,"Egmont/Egmont"," 603","Tyne Valley",3,87,13,124,2,229,
11003,"Egmont/Egmont"," 604","Wellington",4,140,32,107,2,285,
11003,"Egmont/Egmont"," 605","Miscouche",2,79,20,97,0,198,
11003,"Egmont/Egmont"," 606","Summerside",3,202,53,315,1,574,
11003,"Egmont/Egmont"," 607","Summerside",15,229,62,356,2,664,
11003,"Egmont/Egmont",,Group 1/Groupe 1,2,18,4,69,2,95,200
11003,"Egmont/Egmont",,Group 2/Groupe 2,7,186,33,263,7,496,
