Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norm Boucher,Graham Murray,LaVar Payne,Dennis Perrier,Frans VandeStroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Medicine Hat/Medicine Hat"," 47B","Taber",2,9,105,11,1,0,128,301
48021,"Medicine Hat/Medicine Hat"," 48","Taber",4,1,100,21,0,0,126,333
48021,"Medicine Hat/Medicine Hat"," 49","Taber",11,7,173,19,2,0,212,435
48021,"Medicine Hat/Medicine Hat"," 50","Taber",14,7,242,22,2,0,287,559
48021,"Medicine Hat/Medicine Hat"," 51","Taber",16,7,138,21,3,0,185,395
48021,"Medicine Hat/Medicine Hat"," 52","Taber",1,8,123,20,3,0,155,423
48021,"Medicine Hat/Medicine Hat"," 53","Taber",1,3,126,20,1,0,151,370
48021,"Medicine Hat/Medicine Hat"," 54","Taber",13,6,132,32,0,0,183,434
48021,"Medicine Hat/Medicine Hat"," 55","Taber",10,2,112,17,0,0,141,281
48021,"Medicine Hat/Medicine Hat"," 56","Taber",6,2,152,17,4,0,181,332
48021,"Medicine Hat/Medicine Hat"," 57","Taber",8,10,138,19,2,0,177,451
48021,"Medicine Hat/Medicine Hat"," 58","Taber",7,3,120,7,2,0,139,305
48021,"Medicine Hat/Medicine Hat"," 59","Taber",5,5,151,24,2,0,187,422
48021,"Medicine Hat/Medicine Hat"," 60","Buffalo",1,6,104,5,1,0,117,356
48021,"Medicine Hat/Medicine Hat"," 61","Ralston",13,11,134,13,4,0,175,298
48021,"Medicine Hat/Medicine Hat"," 62","Hilda",13,3,48,8,0,0,72,148
48021,"Medicine Hat/Medicine Hat"," 63","Bowmanton",2,4,78,24,2,0,110,207
48021,"Medicine Hat/Medicine Hat"," 64","Schuler",7,0,83,5,1,1,97,165
48021,"Medicine Hat/Medicine Hat"," 65","Bowell",12,6,99,27,0,0,144,283
48021,"Medicine Hat/Medicine Hat"," 66A","Redcliff",12,6,84,16,0,0,118,284
48021,"Medicine Hat/Medicine Hat"," 66B","Redcliff",7,8,88,14,0,0,117,307
48021,"Medicine Hat/Medicine Hat"," 67","Redcliff",13,8,79,28,2,0,130,326
48021,"Medicine Hat/Medicine Hat"," 68","Redcliff",24,12,169,32,0,2,239,499
48021,"Medicine Hat/Medicine Hat"," 69","Redcliff",18,10,146,35,1,0,210,409
48021,"Medicine Hat/Medicine Hat"," 70","Redcliff",14,9,181,25,1,0,230,487
48021,"Medicine Hat/Medicine Hat"," 70-1","Redcliff",20,9,190,36,1,0,256,562
48021,"Medicine Hat/Medicine Hat"," 71","Redcliff",16,11,150,37,1,0,215,479
48021,"Medicine Hat/Medicine Hat"," 72","Redcliff",7,9,83,20,4,0,123,299
48021,"Medicine Hat/Medicine Hat"," 73","Medicine Hat",9,7,175,26,1,0,218,398
48021,"Medicine Hat/Medicine Hat"," 74","Seven Persons",14,16,237,26,4,1,298,505
48021,"Medicine Hat/Medicine Hat"," 75","Bullshead",35,7,211,38,2,1,294,563
48021,"Medicine Hat/Medicine Hat"," 76A","Dunmore",18,5,238,24,0,0,285,581
48021,"Medicine Hat/Medicine Hat"," 76B","Dunmore",17,8,234,28,0,1,288,594
48021,"Medicine Hat/Medicine Hat"," 77","Irvine",22,13,99,12,1,1,148,309
48021,"Medicine Hat/Medicine Hat"," 78","Irvine",18,4,118,18,2,2,162,297
48021,"Medicine Hat/Medicine Hat"," 79","Elkwater",8,10,128,7,2,1,156,314
48021,"Medicine Hat/Medicine Hat"," 80","Medicine Hat",11,7,101,33,0,1,153,455
48021,"Medicine Hat/Medicine Hat"," 81","Medicine Hat",51,14,131,51,1,0,248,541
48021,"Medicine Hat/Medicine Hat"," 81-1A","Medicine Hat",18,8,159,25,1,1,212,343
48021,"Medicine Hat/Medicine Hat"," 81-1B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,101
48021,"Medicine Hat/Medicine Hat"," 82","Medicine Hat",18,8,131,25,0,1,183,366
48021,"Medicine Hat/Medicine Hat"," 83A","Medicine Hat",20,4,57,21,0,1,103,289
48021,"Medicine Hat/Medicine Hat"," 83B","Medicine Hat",14,5,64,25,0,2,110,313
48021,"Medicine Hat/Medicine Hat"," 83-1","Medicine Hat",37,11,160,48,1,0,257,536
48021,"Medicine Hat/Medicine Hat"," 84A","Medicine Hat",13,2,89,30,0,0,134,329
48021,"Medicine Hat/Medicine Hat"," 84B","Medicine Hat",13,8,71,23,1,2,118,301
48021,"Medicine Hat/Medicine Hat"," 85","Medicine Hat",25,5,100,16,0,0,146,306
48021,"Medicine Hat/Medicine Hat"," 85-1A","Medicine Hat",22,5,119,27,1,0,174,391
48021,"Medicine Hat/Medicine Hat"," 85-1B","Medicine Hat",26,8,108,23,0,0,165,405
48021,"Medicine Hat/Medicine Hat"," 85-2A","Medicine Hat",34,5,168,30,3,0,240,529
48021,"Medicine Hat/Medicine Hat"," 85-2B","Medicine Hat",35,7,137,29,0,0,208,476
48021,"Medicine Hat/Medicine Hat"," 86","Medicine Hat",26,3,96,29,0,1,155,339
48021,"Medicine Hat/Medicine Hat"," 87","Medicine Hat",25,11,123,29,0,0,188,374
48021,"Medicine Hat/Medicine Hat"," 88","Medicine Hat",23,7,132,45,0,1,208,411
48021,"Medicine Hat/Medicine Hat"," 89","Medicine Hat",35,5,76,24,0,0,140,280
48021,"Medicine Hat/Medicine Hat"," 90","Medicine Hat",26,9,101,32,0,0,168,359
48021,"Medicine Hat/Medicine Hat"," 91","Medicine Hat",26,8,108,25,2,0,169,411
48021,"Medicine Hat/Medicine Hat"," 92","Medicine Hat",16,6,111,24,1,0,158,313
48021,"Medicine Hat/Medicine Hat"," 93","Medicine Hat",Void/Supprimé,,,,,,,
48021,"Medicine Hat/Medicine Hat"," 94","Medicine Hat",26,7,115,37,0,0,185,417
48021,"Medicine Hat/Medicine Hat"," 95","Medicine Hat",34,7,97,42,2,0,182,380
48021,"Medicine Hat/Medicine Hat"," 96","Medicine Hat",37,11,124,27,1,0,200,336
48021,"Medicine Hat/Medicine Hat"," 97","Medicine Hat",40,12,135,31,1,3,222,368
48021,"Medicine Hat/Medicine Hat"," 98","Medicine Hat",12,3,100,23,0,0,138,304
48021,"Medicine Hat/Medicine Hat"," 99","Medicine Hat",29,9,128,44,0,1,211,448
48021,"Medicine Hat/Medicine Hat"," 100","Medicine Hat",31,4,80,36,1,0,152,291
48021,"Medicine Hat/Medicine Hat"," 101","Medicine Hat",27,12,92,51,0,0,182,400
48021,"Medicine Hat/Medicine Hat"," 102","Medicine Hat",18,8,82,56,0,0,164,331
48021,"Medicine Hat/Medicine Hat"," 103","Medicine Hat",19,12,74,34,1,1,141,323
48021,"Medicine Hat/Medicine Hat"," 104","Medicine Hat",56,9,189,47,0,2,303,533
48021,"Medicine Hat/Medicine Hat"," 105","Medicine Hat",36,14,118,42,0,0,210,452
48021,"Medicine Hat/Medicine Hat"," 106","Medicine Hat",44,16,137,32,4,0,233,463
48021,"Medicine Hat/Medicine Hat"," 107","Medicine Hat",28,7,93,47,0,0,175,337
48021,"Medicine Hat/Medicine Hat"," 108","Medicine Hat",21,16,58,34,1,2,132,316
48021,"Medicine Hat/Medicine Hat"," 109","Medicine Hat",26,12,73,40,1,2,154,386
48021,"Medicine Hat/Medicine Hat"," 110","Medicine Hat",13,10,48,22,0,0,93,254
48021,"Medicine Hat/Medicine Hat"," 111A","Medicine Hat",13,10,70,37,0,0,130,313
48021,"Medicine Hat/Medicine Hat"," 111B","Medicine Hat",12,12,79,24,0,0,127,338
48021,"Medicine Hat/Medicine Hat"," 112","Medicine Hat",6,7,120,25,0,3,161,315
48021,"Medicine Hat/Medicine Hat"," 113","Medicine Hat",17,10,91,34,0,0,152,391
48021,"Medicine Hat/Medicine Hat"," 114","Medicine Hat",31,9,62,38,6,0,146,363
48021,"Medicine Hat/Medicine Hat"," 115","Medicine Hat",41,16,90,55,0,2,204,435
48021,"Medicine Hat/Medicine Hat"," 116","Medicine Hat",35,16,95,57,2,0,205,436
48021,"Medicine Hat/Medicine Hat"," 117","Medicine Hat",20,17,80,35,1,2,155,429
48021,"Medicine Hat/Medicine Hat"," 118","Medicine Hat",17,15,98,31,0,0,161,462
48021,"Medicine Hat/Medicine Hat"," 119","Medicine Hat",21,10,70,33,0,1,135,305
48021,"Medicine Hat/Medicine Hat"," 120","Medicine Hat",19,10,64,29,0,0,122,284
48021,"Medicine Hat/Medicine Hat"," 121","Medicine Hat",23,10,79,53,0,0,165,369
48021,"Medicine Hat/Medicine Hat"," 122","Medicine Hat",13,12,64,18,1,1,109,366
48021,"Medicine Hat/Medicine Hat"," 123","Medicine Hat",9,10,49,29,1,0,98,358
48021,"Medicine Hat/Medicine Hat"," 124","Medicine Hat",27,16,134,37,1,0,215,360
48021,"Medicine Hat/Medicine Hat"," 125","Medicine Hat",28,12,113,36,0,0,189,388
48021,"Medicine Hat/Medicine Hat"," 126","Medicine Hat",24,11,78,28,2,0,143,375
48021,"Medicine Hat/Medicine Hat"," 127","Medicine Hat",33,7,70,25,0,0,135,302
48021,"Medicine Hat/Medicine Hat"," 128","Medicine Hat",31,4,161,24,3,0,223,367
48021,"Medicine Hat/Medicine Hat"," 128-1A","Medicine Hat",35,5,156,28,1,0,225,412
48021,"Medicine Hat/Medicine Hat"," 128-1B","Medicine Hat",26,9,176,19,1,0,231,470
48021,"Medicine Hat/Medicine Hat"," 128-1C","Medicine Hat",35,4,168,38,0,0,245,464
48021,"Medicine Hat/Medicine Hat"," 128-2","Medicine Hat",41,8,102,23,0,0,174,340
48021,"Medicine Hat/Medicine Hat"," 128-3A","Medicine Hat",25,3,91,23,0,1,143,308
48021,"Medicine Hat/Medicine Hat"," 128-3B","Medicine Hat",18,8,130,22,1,1,180,376
48021,"Medicine Hat/Medicine Hat"," 129","Medicine Hat",18,11,90,25,2,1,147,263
48021,"Medicine Hat/Medicine Hat"," 130","Medicine Hat",11,3,47,14,0,0,75,250
48021,"Medicine Hat/Medicine Hat"," 131","Medicine Hat",24,9,70,22,0,0,125,205
48021,"Medicine Hat/Medicine Hat"," 132","Medicine Hat",35,6,173,19,0,0,233,403
48021,"Medicine Hat/Medicine Hat"," 133","Medicine Hat",21,6,65,28,1,0,121,253
48021,"Medicine Hat/Medicine Hat"," 134","Medicine Hat",17,2,90,37,2,0,148,366
48021,"Medicine Hat/Medicine Hat"," 135","Medicine Hat",10,6,172,20,1,3,212,382
48021,"Medicine Hat/Medicine Hat"," 136","Medicine Hat",15,6,137,23,4,1,186,310
48021,"Medicine Hat/Medicine Hat"," 137","Medicine Hat",30,8,95,24,0,0,157,308
48021,"Medicine Hat/Medicine Hat"," 138","Medicine Hat",44,3,231,24,0,0,302,454
48021,"Medicine Hat/Medicine Hat"," 139","Medicine Hat",29,3,138,15,0,0,185,309
48021,"Medicine Hat/Medicine Hat"," 140","Medicine Hat",16,7,78,26,1,0,128,347
48021,"Medicine Hat/Medicine Hat"," 141","Medicine Hat",28,6,115,24,0,1,174,370
48021,"Medicine Hat/Medicine Hat"," 142","Medicine Hat",23,5,130,48,1,0,207,540
48021,"Medicine Hat/Medicine Hat"," 143A","Medicine Hat",30,9,77,11,0,0,127,294
48021,"Medicine Hat/Medicine Hat"," 143B","Medicine Hat",30,6,103,15,1,0,155,336
48021,"Medicine Hat/Medicine Hat"," 143-1","Medicine Hat",33,3,163,40,0,0,239,481
48021,"Medicine Hat/Medicine Hat"," 143-2","Medicine Hat",27,8,167,31,0,0,233,554
48021,"Medicine Hat/Medicine Hat"," 144","Medicine Hat",54,11,179,35,3,2,284,522
48021,"Medicine Hat/Medicine Hat"," 145","Medicine Hat",25,6,135,20,2,0,188,407
48021,"Medicine Hat/Medicine Hat"," 146A","Medicine Hat",11,7,89,21,0,1,129,340
48021,"Medicine Hat/Medicine Hat"," 146B","Medicine Hat",12,5,82,22,0,1,122,311
48021,"Medicine Hat/Medicine Hat"," 146C","Medicine Hat",17,5,89,18,0,0,129,348
48021,"Medicine Hat/Medicine Hat"," 146-1A","Medicine Hat",23,14,131,22,0,0,190,454
48021,"Medicine Hat/Medicine Hat"," 146-1B","Medicine Hat",16,8,141,18,0,1,184,446
48021,"Medicine Hat/Medicine Hat"," 147","Medicine Hat",21,11,183,41,4,1,261,479
48021,"Medicine Hat/Medicine Hat"," 148","Medicine Hat",24,8,91,28,1,0,152,301
48021,"Medicine Hat/Medicine Hat"," 149","Medicine Hat",14,4,100,32,0,1,151,360
48021,"Medicine Hat/Medicine Hat"," 150","Medicine Hat",28,14,119,46,1,0,208,387
48021,"Medicine Hat/Medicine Hat"," 151","Medicine Hat",21,9,127,39,1,0,197,436
48021,"Medicine Hat/Medicine Hat"," 152","Medicine Hat",4,10,91,19,0,1,125,301
48021,"Medicine Hat/Medicine Hat"," 153","Medicine Hat",10,10,83,33,0,0,136,312
48021,"Medicine Hat/Medicine Hat"," 154","Medicine Hat",15,5,103,34,0,0,157,433
48021,"Medicine Hat/Medicine Hat"," 155","Medicine Hat",23,7,85,39,0,1,155,265
48021,"Medicine Hat/Medicine Hat"," 156","Medicine Hat",19,7,99,31,1,1,158,296
48021,"Medicine Hat/Medicine Hat"," 157","Medicine Hat",17,5,89,22,0,3,136,310
48021,"Medicine Hat/Medicine Hat"," 158","Medicine Hat",6,9,98,35,0,0,148,320
48021,"Medicine Hat/Medicine Hat"," 159","Medicine Hat",16,4,126,28,6,1,181,373
48021,"Medicine Hat/Medicine Hat"," 160","Medicine Hat",9,4,63,25,1,2,104,264
48021,"Medicine Hat/Medicine Hat"," 161","Medicine Hat",21,9,93,27,0,0,150,372
48021,"Medicine Hat/Medicine Hat"," 162","Medicine Hat",43,7,164,54,1,1,270,467
48021,"Medicine Hat/Medicine Hat"," 163","Medicine Hat",25,9,170,36,1,0,241,509
48021,"Medicine Hat/Medicine Hat"," 164","Medicine Hat",42,9,167,55,0,0,273,527
48021,"Medicine Hat/Medicine Hat"," 165","Medicine Hat",36,7,112,30,1,1,187,385
48021,"Medicine Hat/Medicine Hat"," 166","Medicine Hat",31,11,125,19,2,0,188,388
48021,"Medicine Hat/Medicine Hat"," 167","Medicine Hat",23,14,111,36,2,0,186,341
48021,"Medicine Hat/Medicine Hat"," 168","Medicine Hat",17,11,134,28,2,0,192,363
48021,"Medicine Hat/Medicine Hat"," 169","Medicine Hat",30,16,165,47,0,1,259,506
48021,"Medicine Hat/Medicine Hat"," 170","Medicine Hat",29,7,114,23,0,0,173,338
48021,"Medicine Hat/Medicine Hat"," 171","Medicine Hat",30,6,115,24,0,0,175,345
48021,"Medicine Hat/Medicine Hat"," 172","Medicine Hat",35,13,176,34,3,2,263,425
48021,"Medicine Hat/Medicine Hat"," 173","Medicine Hat",22,6,163,24,4,0,219,424
48021,"Medicine Hat/Medicine Hat"," 174","Medicine Hat",29,18,179,26,2,0,254,466
48021,"Medicine Hat/Medicine Hat"," 175","Juno",9,9,157,8,13,0,196,358
48021,"Medicine Hat/Medicine Hat"," 176","Bow Island",5,5,91,8,4,0,113,279
48021,"Medicine Hat/Medicine Hat"," 177","Bow Island",16,15,169,17,2,1,220,443
48021,"Medicine Hat/Medicine Hat"," 178","Bow Island",4,16,118,20,2,0,160,318
48021,"Medicine Hat/Medicine Hat"," 179","Bow Island",12,15,166,13,0,1,207,467
48021,"Medicine Hat/Medicine Hat"," 180","Bow Island",8,17,134,4,2,1,166,341
48021,"Medicine Hat/Medicine Hat"," 181","Skiff",2,1,33,0,0,0,36,208
48021,"Medicine Hat/Medicine Hat"," 182","Foremost",6,12,177,24,4,0,223,387
48021,"Medicine Hat/Medicine Hat"," 183","Foremost",7,3,128,4,2,1,145,255
48021,"Medicine Hat/Medicine Hat"," 184","Etzikom",2,3,58,2,1,0,66,254
48021,"Medicine Hat/Medicine Hat"," 185","Manyberries",3,1,138,6,0,0,148,241
48021,"Medicine Hat/Medicine Hat"," 186","Aden",0,1,20,0,0,0,21,30
48021,"Medicine Hat/Medicine Hat"," 400","Medicine Hat",Void/Supprimé,,,,,,,
48021,"Medicine Hat/Medicine Hat"," 401","Medicine Hat",32,0,103,16,0,0,151,188
48021,"Medicine Hat/Medicine Hat"," 402","Medicine Hat",22,6,128,23,0,2,181,250
48021,"Medicine Hat/Medicine Hat"," 500","Mobile poll/Bureau itinérant",12,8,171,10,3,2,206,232
48021,"Medicine Hat/Medicine Hat"," 501","Mobile poll/Bureau itinérant",22,3,72,15,0,1,113,233
48021,"Medicine Hat/Medicine Hat"," 502","Mobile poll/Bureau itinérant",6,0,62,1,0,0,69,87
48021,"Medicine Hat/Medicine Hat"," 503","Mobile poll/Bureau itinérant",14,3,39,21,1,0,78,139
48021,"Medicine Hat/Medicine Hat"," 504","Mobile poll/Bureau itinérant",18,4,93,21,1,0,137,222
48021,"Medicine Hat/Medicine Hat"," 505","Mobile poll/Bureau itinérant",25,2,64,14,1,0,106,118
48021,"Medicine Hat/Medicine Hat"," 600","Newell County No. 4--Bassano",3,3,103,7,0,0,116,
48021,"Medicine Hat/Medicine Hat"," 601","Newell County No. 4--Brooks",27,19,434,16,4,0,500,
48021,"Medicine Hat/Medicine Hat"," 602","Cypress County--Empress",7,8,59,4,1,0,79,
48021,"Medicine Hat/Medicine Hat"," 603","Cypress County--Redcliff",29,7,146,40,0,0,222,
48021,"Medicine Hat/Medicine Hat"," 604","Taber--Vauxhall",3,8,117,9,3,0,140,
48021,"Medicine Hat/Medicine Hat"," 605","Taber",18,8,257,18,3,1,305,
48021,"Medicine Hat/Medicine Hat"," 606","Bow Island",11,8,67,7,2,0,95,
48021,"Medicine Hat/Medicine Hat"," 607","Medicine Hat",90,26,383,57,1,1,558,
48021,"Medicine Hat/Medicine Hat"," 608","Medicine Hat",50,14,142,58,0,2,266,
48021,"Medicine Hat/Medicine Hat"," 609","Medicine Hat",59,13,180,35,1,0,288,
48021,"Medicine Hat/Medicine Hat"," 610","Medicine Hat--Cypress County",67,14,361,41,3,0,486,
48021,"Medicine Hat/Medicine Hat"," 611","Cypress County--Dunmore",10,4,105,13,0,0,132,
48021,"Medicine Hat/Medicine Hat"," 612","Forty Mile County No. 8",3,0,43,5,0,0,51,
48021,"Medicine Hat/Medicine Hat"," 613","Newell County No. 4--Brooks",24,11,256,19,3,2,315,
48021,"Medicine Hat/Medicine Hat"," 614","Medicine Hat",62,18,344,53,7,0,484,
48021,"Medicine Hat/Medicine Hat",,Group 1/Groupe 1,39,11,59,14,0,9,132,210
48021,"Medicine Hat/Medicine Hat",,Group 2/Groupe 2,71,30,346,40,1,6,494,
