RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Colleen Marie Mader Rogers","Retired/Retraitée","Kings--Hants","12007","Nova Scotia/Nouvelle-Écosse","Windsor"
"Glenn MacDougall","Business Owner/Propriétaire d'entreprise","Sackville--Preston--Chezzetcook","12008","Nova Scotia/Nouvelle-Écosse","Lower Sackville"
"Douglas J. Rideout","Retired/Retraité","South Shore--St. Margarets","12009","Nova Scotia/Nouvelle-Écosse","Upper Tantallon"
"Peter Bernard Mombourquette","Retired/Retraité","Sydney--Victoria","12010","Nova Scotia/Nouvelle-Écosse","Sydney"
"Rose-Aline Gawn","Bookkeeper/Comptable","West Nova/Nova-Ouest","12011","Nova Scotia/Nouvelle-Écosse","Meteghan"
"Réjean Arseneault","Retired/Retraité","Acadie--Bathurst","13001","New Brunswick/Nouveau-Brunswick","Saint-Isidore"
"Ola Drisdelle","Retired/Retraité","Beauséjour","13002","New Brunswick/Nouveau-Brunswick","Haute-Aboujagane"
"C. David Desjardins","Executive Director/Directeur général","Fredericton","13003","New Brunswick/Nouveau-Brunswick","New Maryland"
"Joanne Marie Nice","Retired/Retraitée","Fundy Royal","13004","New Brunswick/Nouveau-Brunswick","Quispamsis"
"Albert W. Martin","Retired/Retraité","Madawaska--Restigouche","13005","New Brunswick/Nouveau-Brunswick","Saint-Basile"
"Norman W. Brown","Semi-retired Bus Driver/Chauffeur d'autobus semi-retraité","Miramichi--Grand Lake","13006","New Brunswick/Nouveau-Brunswick","Miramichi"
"Donna Gauthier","Representative/Représentante","Moncton--Riverview--Dieppe","13007","New Brunswick/Nouveau-Brunswick","Riverview"
"W. Robert Brown","Retired/Retraité","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","13008","New Brunswick/Nouveau-Brunswick","St. Stephen"
"Fred Fuller","Retired/Retraité","Saint John--Rothesay","13009","New Brunswick/Nouveau-Brunswick","Saint John"
"J. Kevin Branswell","Retired Teacher/Enseignant retraité","Tobique--Mactaquac","13010","New Brunswick/Nouveau-Brunswick","Upper Brighton"
"Kevin Cordeau","Project Manager/Chargé de projet","Abitibi--Baie-James--Nunavik--Eeyou","24001","Quebec/Québec","Val-d'Or"
"Bertrand Trépanier","Consultant","Abitibi--Témiscamingue","24002","Quebec/Québec","Rouyn-Noranda"
"Jean-Guy Théorêt","Retired/Retraité","Ahuntsic-Cartierville","24003","Quebec/Québec","Montréal"
"Paul Breton","Manager and Consultant in Communication/Gestionnaire et conseiller en communication","Alfred-Pellan","24004","Quebec/Québec","Laval"
"Marie Poirier","Manager/Gestionnaire","Argenteuil--La Petite-Nation","24005","Quebec/Québec","Gatineau"
"Bertrand Bernier","Retired/Retraité","Avignon--La Mitis--Matane--Matapédia","24006","Quebec/Québec","Matane"
"Lise Lefebvre","Retired/Retraitée","Beauce","24007","Quebec/Québec","Sainte-Marie"
"Gilles Bard","Retired/Retraité","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","24020","Quebec/Québec","Baie-Saint-Paul"
"François Savard","Retired/Retraité","Beauport--Limoilou","24008","Quebec/Québec","Québec"
"Michel Longval","Finance/Finances","Bécancour--Nicolet--Saurel","24009","Quebec/Québec","Bécancour"
"Richard Poulin","Retired/Retraité","Bellechasse--Les Etchemins--Lévis","24010","Quebec/Québec","Lac-Etchemin"
"Claude D. Fagnant","Director/Directeur","Beloeil--Chambly","24011","Quebec/Québec","Mont-Saint-Hilaire"
"Jean Provencher","Engineer Retired/Ingénieur Retraité","Berthier--Maskinongé","24012","Quebec/Québec","Saint-Boniface"
"Daniel Renaud","School Commissioner/Commissaire Scolaire","Bourassa","24015","Quebec/Québec","Montréal"
"Diane Prévost","Communication Advisor/Conseillère en communications","Brome--Missisquoi","24016","Quebec/Québec","Sutton"
"Gilles Ferlatte","Semi-Retired/Semi-Retraité","Brossard--Saint-Lambert","24017","Quebec/Québec","Brossard"
"Mark Edouard Poirier","Retired/Retraité","Charlesbourg--Haute-Saint-Charles","24019","Quebec/Québec","Québec"
"François Candau","Supervisor, Public Work/Contremaître, Travaux publics","Châteauguay--Lacolle","24021","Quebec/Québec","Sainte-Martine"
"Claude Gaudreault","Lawyer/Avocat","Chicoutimi--Le Fjord","24022","Quebec/Québec","Chicoutimi"
"Michel Delisle","Project Officer/Chargé de projets","Compton--Stanstead","24023","Quebec/Québec","Sherbrooke"
"Jean-Claude Ménard","Annuitant/Rentier","Dorval--Lachine--LaSalle","24024","Quebec/Québec","Lachine"
"Andrée Desautels","Education/Éducation","Drummond","24025","Quebec/Québec","Drummondville"
"Gaby Johnson","Retired/Retraité","Gaspésie--Les Îles-de-la-Madeleine","24026","Quebec/Québec","Gaspé"
"Josée Dubois","Accountant/Comptable","Gatineau","24027","Quebec/Québec","Gatineau"
"Carol Beausoleil-Versailles","Retired/Retraitée","Hochelaga","24028","Quebec/Québec","Montréal"
"Marguerite Sicari","Office Clerk/Commis de bureau","Honoré-Mercier","24029","Quebec/Québec","Montréal"
"Michelle Waters","Self-employed/Travailleuse autonome","Hull--Aylmer","24030","Quebec/Québec","Gatineau"
"Robert Beauséjour","Retired School Principal/Directeur scolaire retraité","Joliette","24031","Quebec/Québec","Saint-Charles-Borromée"
"Marc Pomerleau","Consultant","Jonquière","24032","Quebec/Québec","Jonquière"
"Bernard Lauzon","Retired/Retraité","La Pointe-de-l'Île","24033","Quebec/Québec","Montréal"
"Claude Jolin","Manager/Gestionnaire","La Prairie","24034","Quebec/Québec","La Prairie"
"Donald Hudon","General Director/Directeur général","Lac-Saint-Jean","24035","Quebec/Québec","Lac-à-la-Croix"
"Robert Lister","Manager/Gestionnaire","Lac-Saint-Louis","24036","Quebec/Québec","Baie-D'Urfé"
"Sylvie Gagnon","Self-employed/Travailleure autonome","LaSalle--Émard--Verdun","24037","Quebec/Québec","Montréal"
"Claude Villeneuve","Retired/Retraité","Laurentides--Labelle","24038","Quebec/Québec","Sainte-Adèle"
"Paul Haince","Retired/Retraité","Laurier--Sainte-Marie","24039","Quebec/Québec","Montréal"
"Jean-Paul Vernier","SAAQ Evaluator/Évaluateur pour la SAAQ","Laval--Les Îles","24040","Quebec/Québec","Laval"
"Jean-Louis Leblond","Retired Economist/Économiste à la retraite","Lévis--Lotbinière","24042","Quebec/Québec","Lévis"
"Claire Levasseur","Retired/Retraitée","Longueuil--Charles-LeMoyne","24041","Quebec/Québec","Longueuil"
"Anne-Denise Thomas","Contractor/Contracteur","Longueuil--Saint-Hubert","24043","Quebec/Québec","Longueuil"
"Richard Lavigne","Retired/Retraité","Louis-Hébert","24044","Quebec/Québec","Québec"
"Hélène Dion","Retired/Retraitée","Louis-Saint-Laurent","24045","Quebec/Québec","Québec"
"Benoit Monger","Retired/Retraité","Manicouagan","24046","Quebec/Québec","Sept-Îles"
"Jacques Foucher","Lawyer/Avocat","Marc-Aurèle-Fortin","24065","Quebec/Québec","Laval"
"Claude Nadeau","Retired/Retraité","Mégantic--L'Érable","24047","Quebec/Québec","Thetford Mines"
"André Savard","Retired/Retraité","Mirabel","24048","Quebec/Québec","Sainte-Marthe-sur-le-Lac"
"Fernand B. Couture","Retired/Retraité","Montarville","24049","Quebec/Québec","Saint-Bruno-de-Montarville"
"Richard Kelso","Retired/Retraité","Montcalm","24050","Quebec/Québec","Saint-Calixte"
"Pierrette Couillard","Notary/Notaire","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","24051","Quebec/Québec","Cacouna"
"Claire Lemieux","Director of Sales/Directeur des ventes","Mount Royal/Mont-Royal","24052","Quebec/Québec","Montréal"
"Brigitte Stock","Director of Communications/Directrice des communications","Notre-Dame-de-Grâce--Westmount","24053","Quebec/Québec","Westmount"
"Jane Renaud","Business Consultant/Consultante en gestion","Outremont","24054","Quebec/Québec","Montréal"
"Normand Lake","Self-employed/Travailleur autonome","Papineau","24055","Quebec/Québec","Montréal"
"Francine Tardif-Martin","Retired/Retraitée","Pierre-Boucher--Les Patriotes--Verchères","24014","Quebec/Québec","Boucherville"
"Madanlal (Tony) Vanvari","Engineer/Ingénieur","Pierrefonds--Dollard","24056","Quebec/Québec","Pierrefonds"
"Gaétan Lance","Annuitant/Rentier","Pontiac","24057","Quebec/Québec","Campbell's Bay"
"Guillaume Donati","Director, Canada Revenue Agency/Directeur, Agence du  revenu du Canada","Portneuf--Jacques-Cartier","24058","Quebec/Québec","Saint-Augustin-de-Desmaures"
"André Crochetière","Responsible for Youth Activities/Responsable des activités jeunesse","Québec","24059","Quebec/Québec","Québec"
"Lise Gauvin-Arsenault","Retired/Retraitée","Repentigny","24060","Quebec/Québec","Repentigny"
"Jacques Alie","Retired/Retraité","Richmond--Arthabaska","24061","Quebec/Québec","Asbestos"
"Jacques H. Roy","Retired/Retraité","Rimouski-Neigette--Témiscouata--Les Basques","24018","Quebec/Québec","Rimouski"
"Lucien Vallée","Retired/Retraité","Rivière-des-Mille-Îles","24062","Quebec/Québec","Saint-Eustache"
"Sylvie Moisan","Consultant/Consultante","Rivière-du-Nord","24063","Quebec/Québec","Saint-Jérôme"
"Michelle Perrault","Self-employed/Travailleuse autonome","Rosemont--La Petite-Patrie","24064","Quebec/Québec","Montréal"
"Suzie Guilmain","Lawyer/Avocate","Saint-Hyacinthe--Bagot","24066","Quebec/Québec","Saint-Pie"
"Louis Richer","Retired/Retraité","Saint-Jean","24067","Quebec/Québec","Saint-Jean-sur-Richelieu"
"Pierre Croubalian","Retired/Retraité","Saint-Laurent","24068","Quebec/Québec","Montréal"
"Antonio Iadeluca","Management/Gestion","Saint-Léonard--Saint-Michel","24069","Quebec/Québec","Saint-Léonard"
"Gilles Leboeuf","Retired/Retraité","Saint-Maurice--Champlain","24070","Quebec/Québec","Shawinigan-Sud"
"Claude Leduc","Financial Security Advisor/Conseiller en sécurité financière","Salaberry--Suroît","24071","Quebec/Québec","Valleyfield"
"Yvon Lessard","Retired/Retraité","Shefford","24072","Quebec/Québec","Granby"
"Richard Dion","Retired/Retraité","Sherbrooke","24073","Quebec/Québec","Sherbrooke"
"Claude Martel","Geographer-Historian/Géographe-Historien","Terrebonne","24075","Quebec/Québec","Lachenaie"
"Claire Lessard","Retired/Retraitée","Thérèse-De Blainville","24013","Quebec/Québec","Sainte-Thérèse"
"André Levasseur","Retired/Retraité","Trois-Rivières","24076","Quebec/Québec","Trois-Rivières"
"Nicole Lauzon","Retired/Retraitée","Vaudreuil--Soulanges","24074","Quebec/Québec","Vaudreuil-Dorion"
"Louis-Marc Chiasson","Freelance/Pigiste","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Quebec/Québec","Montréal"
"André Brunelle","Retired/Retraité","Vimy","24078","Quebec/Québec","Laval"
"Robert Winston Cumberbatch","Software Trainer/Entraineur informatique","Ajax","35001","Ontario","Ajax"
"Raymond Racine","Self-employed/Travailleur autonome","Algoma--Manitoulin--Kapuskasing","35002","Ontario","Elliot Lake"
"Colin Pettit","Engineer/Ingénieur","Aurora--Oak Ridges--Richmond Hill","35003","Ontario","Richmond Hill"
"Dennis Chronopoulos","Lawyer/Avocat","Barrie--Innisfil","35004","Ontario","Barrie"
"Maura Isabel Bolger","Retired/Retraitée","Barrie--Springwater--Oro-Medonte","35005","Ontario","Barrie"
"Larry Zadow","Retired/Retraité","Bay of Quinte/Baie de Quinte","35006","Ontario","Belleville"
"Jeff Paulin","Management/Gestion","Beaches--East York","35007","Ontario","Toronto"
"Janice A. Barber","Homemaker/Personne au foyer","Brampton Centre/Brampton-Centre","35008","Ontario","Brampton"
"Bridge Ramdewar","Prevention Services/Services de prévention","Brampton East/Brampton-Est","35009","Ontario","Brampton"
"Paul Thomas McMorrow","Retired Educator/Éducateur retraité","Brampton North/Brampton-Nord","35010","Ontario","Brampton"
"John R. Holman","Self-employed/Travailleur autonome","Brampton South/Brampton-Sud","35011","Ontario","Brampton"
"Shashikant Nayak","Director/Directeur","Brampton West/Brampton-Ouest","35012","Ontario","Brampton"
"Betteanne Marie Cadman","Retired Clerk and Administrator/Administratrice et commis retraitée","Brantford--Brant","35013","Ontario","Burford"
"Robert Droine","Retired/Retraité","Bruce--Grey--Owen Sound","35014","Ontario","Owen Sound"
"Patricia Jane Barr","Retired/Retraitée","Burlington","35015","Ontario","Burlington"
"Mary O'Connor","Correctional Officer/Agente correctionnel","Cambridge","35016","Ontario","Cambridge"
"Paul A. Drover","Consultant","Carleton","35088","Ontario","Stittsville"
"George Guy Taylor","Retired/Retraité","Chatham-Kent--Leamington","35017","Ontario","Chatham"
"Marko Banjavcic","Election Administrator/Administrateur d'élection","Davenport","35018","Ontario","Toronto"
"Urma Ellis","Real Estate Agent/Agente immobilière","Don Valley East/Don Valley-Est","35019","Ontario","Toronto"
"Maxwell Berdowski","Consultant","Don Valley North/Don Valley-Nord","35020","Ontario","Toronto"
"Nasir Addetia","Self-employed/Travailleur autonome","Don Valley West/Don Valley-Ouest","35021","Ontario","East York"
"William Lynch","IT Consultant/Consultant en TI","Dufferin--Caledon","35022","Ontario","Orangeville"
"Ralph E. F. Werry","Self-employed/Travailleur autonome","Durham","35023","Ontario","Enniskillen"
"Lorraine Reid","Customer Service/Service à la clientèle","Eglinton--Lawrence","35024","Ontario","Toronto"
"Carrie Woolley","Homemaker/Personne au foyer","Elgin--Middlesex--London","35025","Ontario","St. Thomas"
"Heather Kennedy","Bookkeeper/Comptable","Essex","35026","Ontario","Essex"
"Allan Sperling","Teacher Consultant/Consultant en enseignement","Etobicoke Centre/Etobicoke-Centre","35027","Ontario","Etobicoke"
"Carole A. Murphy","Real Estate Sales/Ventes immobilières","Etobicoke North/Etobicoke-Nord","35029","Ontario","Toronto"
"Martin John Riley","Retired/Retraité","Etobicoke--Lakeshore","35028","Ontario","Etobicoke"
"Al Croxall","Retired/Retraité","Flamborough--Glanbrook","35030","Ontario","Jerseyville"
"Murielle T. Lanthier","Administration","Glengarry--Prescott--Russell","35031","Ontario","Hawkesbury"
"Anne M. Budra","Consulting Services/Services de consultation","Guelph","35032","Ontario","Guelph"
"Robert Foster","Retired/Retraité","Haldimand--Norfolk","35033","Ontario","Simcoe"
"Jerry J. Ford","Retired/Retraité","Haliburton--Kawartha Lakes--Brock","35034","Ontario","Lindsay"
"Ryan Thomas Scally Leverton","Administrative Assistance/Assistance administratif","Hamilton Centre/Hamilton-Centre","35035","Ontario","Hamilton"
"Ruth Anne Martin","AR/AP Clerk/Commis aux comptes créditeurs/débiteurs","Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek","35036","Ontario","Stoney Creek"
"Patrick Gerald Lachapelle","Retired Teacher/Professeur retraité","Hamilton Mountain","35037","Ontario","Hamilton"
"James Robert Winn","Retired/Retraite","Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas","35038","Ontario","Hamilton"
"Caroline Mabel McMillan","Life and Health Insurance Broker and Agent/Agente et courtière en assurance-vie et en assurance-santé","Hastings--Lennox and Addington","35039","Ontario","Napanee"
"Elaine Ewers-Baptiste","Consultant/Consultante","Humber River--Black Creek","35121","Ontario","Toronto"
"Graeme Craig","Business/Affaires","Huron--Bruce","35040","Ontario","Walton"
"Keith H. Anatol","Accountant (retired)/Comptable retraité","Kanata--Carleton","35041","Ontario","Kanata"
"Paul Stanley Duggan","Teacher - retired/Enseignant retraité","Kenora","35042","Ontario","Kenora"
"Jill Ann Medley","Consultant/Consultante","King--Vaughan","35043","Ontario","Kleinburg"
"Marie-Therese Large","Retired/Retraitée","Kingston and the Islands/Kingston et les Îles","35044","Ontario","Kingston"
"Patricia Gale LePage","Retired/Retraitée","Kitchener Centre/Kitchener-Centre","35045","Ontario","Kitchener"
"Grace Loney","Chartered Accountant/Comptable Agréé","Kitchener South--Hespeler/Kitchener-Sud--Hespeler","35047","Ontario","Cambridge"
"Carolyn Hertzberger","Retired Teacher/Enseignante Retraitée","Kitchener--Conestoga","35046","Ontario","Elmira"
"Liisa Buren","Office Manager/Gestionnaire de bureau","Lambton--Kent--Middlesex","35048","Ontario","Komoka"
"Wayne Johnson","Human Resources Consultant/Consultant en ressources humaines","Lanark--Frontenac--Kingston","35049","Ontario","Perth"
"Barbara M. Mills","Administration","Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes","35050","Ontario","Prescott"
"Douglas William Glover","Retired/Retraité","London North Centre/London-Centre-Nord","35052","Ontario","London"
"Karen Elaine Mazereeuw","Homemaker/Personne au foyer","London West/London-Ouest","35053","Ontario","London"
"Brenda Telfer","Self-employed/Travailleuse autonome","London--Fanshawe","35051","Ontario","London"
"Barry Wilson","Retired/Retraité","Markham--Stouffville","35054","Ontario","Markham"
"Darlene Macartney","Semi-Retired Consultant/Consultant semi-retraitée","Markham--Thornhill","35055","Ontario","Thornhill"
"Janet Maureen Koidis","Retired Principal/Directrice retraitée","Markham--Unionville","35056","Ontario","Unionville"
"Carol Beth Dougherty","Employee Benefits Consultant/Consultante en avantages sociaux","Milton","35057","Ontario","Milton"
"John Stuart Heenan","Professional Engineer/Ingénieur professionnel","Mississauga Centre/Mississauga-Centre","35058","Ontario","Mississauga"
"David George","Retired President and CEO/Directeur et PDG retraité","Mississauga East--Cooksville/Mississauga-Est--Cooksville","35059","Ontario","Mississauga"
"Louis Girard","Teacher/Enseignant","Mississauga--Erin Mills","35060","Ontario","Mississauga"
"Fran Doda","Accountant/Comptable","Mississauga--Lakeshore","35061","Ontario","Mississauga"
"Vijay Kumar Ramadorai","Consultant","Mississauga--Malton","35062","Ontario","Mississauga"
"Arafat Arafat","Dental Technologist Denturist/Technologue dentaire et denturologue","Mississauga--Streetsville","35063","Ontario","Mississauga"
"Patricia Judith DiMillo","Retired/Retraitée","Nepean","35064","Ontario","Nepean"
"Alice Isabella Keenan","ESL Teacher/Enseignante ALS","Newmarket--Aurora","35065","Ontario","Newmarket"
"Robert (Bob) Michael Diakow","Retired/Retraité","Niagara Centre/Niagara-Centre","35066","Ontario","St. Catharines"
"Kathleen J. Quiquero","Finance/Finances","Niagara Falls","35067","Ontario","Niagara Falls"
"Robert Ciarlo","Retired/Retraité","Niagara West/Niagara-Ouest","35068","Ontario","Grimsby"
"Pauline Renaud","Homemaker/Personne au foyer","Nickel Belt","35069","Ontario","Chelmsford"
"James Thomas Mallory","Retired/Retraité","Nipissing--Timiskaming","35070","Ontario","North Bay"
"Kathleen Duffy","Certified Management Accountant/Comptable en management accréditée","Northumberland--Peterborough South/Northumberland--Peterborough-Sud","35071","Ontario","Cobourg"
"Surinder K. Sharma","Retired/Retraité","Oakville","35072","Ontario","Oakville"
"Diane Lindsey","Event Planner/Planificateure d'événements","Oakville North--Burlington/Oakville-Nord--Burlington","35073","Ontario","Burlington"
"Sylvie Duford","Orthotherapist/Orthothérapeute","Orléans","35076","Ontario","Orléans"
"Kenneth Charles Houston","Self-employed/Travail autonome","Oshawa","35074","Ontario","Oshawa"
"Gail Ann Lynch","Realtor/Agente immobilière","Ottawa Centre/Ottawa-Centre","35075","Ontario","Ottawa"
"Eileen Patricia Raven","Retired Teacher/Enseignante retraitée","Ottawa South/Ottawa-Sud","35077","Ontario","Ottawa"
"Arnold Finkelstein","Retired/Retraité","Ottawa West--Nepean/Ottawa-Ouest--Nepean","35079","Ontario","Ottawa"
"Rachel L. Crête","Retired/Retraitée","Ottawa--Vanier","35078","Ontario","Ottawa"
"Audrey E. Schultz","Retired/Retraitée","Oxford","35080","Ontario","Princeton"
"Marika Huska","Consultant/Consultante","Parkdale--High Park","35081","Ontario","Toronto"
"Kim Elaine Bordeleau","Aircraft Maintenance/Entretien d'avion","Parry Sound--Muskoka","35082","Ontario","Parry Sound"
"Patricia Anne Ranney","Project Manager/Gestionnaire de projet","Perth--Wellington","35083","Ontario","Stratford"
"Rodney Manley","Consultant","Peterborough--Kawartha","35084","Ontario","Peterborough"
"Joseph Birungi","Data Manager/Gestionnaire de données","Pickering--Uxbridge","35085","Ontario","Pickering"
"Robert Rantz","Retired/Retraité","Renfrew--Nipissing--Pembroke","35086","Ontario","Petawawa"
"Sharon Louise Rossi","Potter/Potier","Richmond Hill","35087","Ontario","Richmond Hill"
"Joseph Henriques","Consultant","St. Catharines","35089","Ontario","St. Catharines"
"Paul Rennie","Retired/Retraité","Sarnia--Lambton","35091","Ontario","Sarnia"
"Allan K. Hackett","Project Facilitator/Facilitateur de projet","Sault Ste. Marie","35092","Ontario","Sault Ste. Marie"
"Brian Terence Reid","Software Development Manager/Directeur de développement de logiciels","Scarborough Centre/Scarborough-Centre","35094","Ontario","Toronto"
"Hebe Ong-Lim","Director and Administrator of JLHO Enterprise Inc./Directrice et administratrice de JLHO entreprise Inc.","Scarborough North/Scarborough-Nord","35096","Ontario","Toronto"
"Patrick Smith","Realtor/Agent Immobilier","Scarborough Southwest/Scarborough-Sud-Ouest","35098","Ontario","Toronto"
"Mehboob Jadavji","Retired CPA - CGA/Comptable professionnel agréé retraité","Scarborough--Agincourt","35093","Ontario","Scarborough"
"Denis Neill Frazer","Retired/Retraité","Scarborough--Guildwood","35095","Ontario","Scarborough"
"Michael Pinto","Retired - Professional Woodturner/Tourneur de bois professionnel retraité","Scarborough--Rouge Park","35097","Ontario","Toronto"
"Ron Walker","Retired Engineer/Ingénieur retraité","Simcoe North/Simcoe-Nord","35100","Ontario","Washago"
"Ralph Edward Sneyd","Retired Teacher/Enseignant retraité","Simcoe--Grey","35099","Ontario","Collingwood"
"Michael Crawford Urban","Consultant","Spadina--Fort York","35101","Ontario","Toronto"
"Kimberley Ann Kubeck","Retired/Retraitée","Stormont--Dundas--South Glengarry","35102","Ontario","Alexandria"
"Ellen Kerr","Retired/Retraitée","Sudbury","35103","Ontario","Sudbury"
"Seymour Barry Stein","Chartered Accountant/Comptable agréé","Thornhill","35104","Ontario","Thornhill"
"Thompson George McCuaig","Retired/Retraité","Thunder Bay--Rainy River","35105","Ontario","Thunder Bay"
"William Earl Everitt","Retired/Retraité","Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord","35106","Ontario","Thunder Bay"
"Denise Labelle","Administration","Timmins--James Bay/Timmins--Baie James","35107","Ontario","Timmins"
"Brian Arthur Gerrior","Retired/Retraité","Toronto Centre/Toronto-Centre","35108","Ontario","Toronto"
"Diane Catherine Stevenson","Retired/Retraitée","Toronto--Danforth","35109","Ontario","Toronto"
"Kelly Walters","Bid Coordinator/Coordonnatrice, appels d'offre","Toronto--St. Paul's","35090","Ontario","Toronto"
"Lesley Singer","Businesswoman/Femme d'affaires","University--Rosedale","35110","Ontario","Toronto"
"Ralph Canale","Retired/Retraité","Vaughan--Woodbridge","35111","Ontario","Vaughan"
"Nick Arthur Driedger","Retired CEO/DGE retraité","Waterloo","35112","Ontario","Waterloo"
"Thomas H.L. Gallagher","Sales/Ventes","Wellington--Halton Hills","35113","Ontario","Georgetown"
"Paul M. Cloutier","Retired/Retraité","Whitby","35114","Ontario","Whitby"
"May Lynne Fong","Retired/Retraitée","Willowdale","35115","Ontario","Toronto"
"Thomas William Lynd","Consultant","Windsor West/Windsor-Ouest","35117","Ontario","Windsor"
"Mark Moore","Retired/Retraité","Windsor--Tecumseh","35116","Ontario","Windsor"
"Cathy Susan Martin","Coordinator Non-profit/Coordonnatrice, sans but lucratif","York Centre/York-Centre","35118","Ontario","Toronto"
"Ella Jackson","Real Estate/Immobilier","York South--Weston/York-Sud--Weston","35120","Ontario","Toronto"
"Nina Willcocks","Financial Manager/Directrice en Finances","York--Simcoe","35119","Ontario","Sutton West"
"Joni Denise Swidnicki","Retired/Retraitée","Brandon--Souris","46001","Manitoba","Brandon"
"Sherri Lorraine Vanderstel","Teacher/Enseignante","Charleswood--St. James--Assiniboia--Headingley","46002","Manitoba","Winnipeg"
"Li Cripps","Business Owner/Propriétaire d'entreprise","Churchill--Keewatinook Aski","46003","Manitoba","Thompson"
"Ron Clement","Commissionnaire","Dauphin--Swan River--Neepawa","46004","Manitoba","Russell-Binscarth"
"Jurgen Schmidt","Retired/Retraité","Elmwood--Transcona","46005","Manitoba","Winnipeg"
"Donna Gail Ghidoni","Educator/Trainer/Éducatrice/Entraineuse","Kildonan--St. Paul","46006","Manitoba","East St. Paul"
"Georges Cormier","Retired/Retraité","Portage--Lisgar","46007","Manitoba","La Salle"
"Brigitte Lise Suzanne Giesbrecht","Homemaker/Personne au foyer","Provencher","46008","Manitoba","Landmark"
"Tayeb Meridji","Retired/Retraité","Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital","46009","Manitoba","Winnipeg"
"Gayle Halliwell","Retired Educator/Artist/Enseignante retraitée/Artiste","Selkirk--Interlake--Eastman","46010","Manitoba","Sandy Hook"
"Jo-Anne G. Doty","Office Coordinator/Coordonnatrice de bureau","Winnipeg Centre/Winnipeg-Centre","46011","Manitoba","Winnipeg"
"Erlinda M. Dionisio","Health Care Worker/Travailleuse, domaine de la santé","Winnipeg North/Winnipeg-Nord","46012","Manitoba","Winnipeg"
"Lori Lynn Gray","Computer Services/Services informatiques","Winnipeg South/Winnipeg-Sud","46013","Manitoba","Winnipeg"
"Johanna Gail Denesiuk","Retired/Retraitée","Winnipeg South Centre/Winnipeg-Centre-Sud","46014","Manitoba","Winnipeg"
